,eventid,carno,pit_id,lap_number,lap_time,lap_cnt,cautionlap_cnt,pit_oncaution_len,pit_oncaution
129,0,27,0,32,55.21239999999989,32,3,0,0
130,0,27,1,58,91.75530000000026,25,9,1,1
131,0,27,2,92,53.861399999999776,33,2,0,0
132,0,27,3,125,52.81840000000011,32,0,0,0
133,0,27,4,157,54.090799999999945,31,0,0,0
134,0,27,5,188,52.20629999999983,30,0,0,0
135,0,27,6,192,77.64730000000054,3,0,0,0
136,0,41,0,30,68.01160000000004,30,3,0,0
137,0,41,1,39,74.36490000000003,8,5,5,1
138,0,41,2,58,100.19939999999997,18,4,1,1
139,0,41,3,90,95.27430000000004,31,2,0,0
140,0,41,4,121,73.34049999999934,30,0,0,0
141,0,41,5,150,69.71870000000035,28,0,0,0
142,0,41,6,179,89.71779999999853,28,0,0,0
143,0,55,0,30,67.23500000000013,30,3,0,0
144,0,55,1,58,104.33289999999988,27,10,1,1
145,0,55,2,88,66.21569999999974,29,2,0,0
146,0,55,3,113,67.59940000000006,24,0,0,0
147,0,55,4,143,69.17159999999967,29,0,0,0
148,0,55,5,172,67.90169999999944,28,0,0,0
149,0,60,0,32,70.10629999999992,32,3,0,0
150,0,60,1,58,103.85249999999996,25,10,1,1
151,0,60,2,92,68.20830000000024,33,2,0,0
152,0,60,3,125,67.58230000000003,32,0,0,0
153,0,60,4,147,79.64239999999972,21,0,0,0
154,0,60,5,169,389.2547999999988,21,0,0,0
155,0,63,0,5,148.69969999999998,5,1,1,1
156,0,63,1,38,146.64890000000014,32,4,3,1
157,0,63,2,46,417.1121000000003,7,4,0,0
158,0,77,0,33,68.70640000000003,33,3,0,0
159,0,77,1,58,102.07000000000016,24,10,1,1
160,0,77,2,92,68.78579999999965,33,2,0,0
161,0,77,3,122,68.21600000000035,29,0,0,0
162,0,77,4,153,66.9331000000002,30,0,0,0
163,0,77,5,182,66.28629999999976,28,0,0,0
164,0,78,0,5,142.78060000000002,5,1,1,1
165,0,78,1,38,139.77610000000004,32,4,3,1
166,0,78,2,45,54.184499999999844,6,4,0,0
167,0,78,3,58,85.19540000000006,12,2,2,1
168,0,78,4,92,67.91870000000017,33,2,0,0
169,0,78,5,123,68.26260000000002,30,0,0,0
170,0,78,6,152,69.05400000000009,28,0,0,0
171,0,78,7,180,70.52610000000095,27,0,0,0
172,0,81,0,5,146.25310000000002,5,1,1,1
173,0,81,1,28,376.9266,22,1,29,1
174,0,81,2,35,115.9018000000001,6,6,36,1
175,0,81,3,55,96.6877999999997,19,5,4,1
176,0,81,4,80,73.70589999999993,24,0,0,0
177,0,81,5,107,73.29719999999998,26,0,0,0
178,0,81,6,134,70.1300999999994,26,0,0,0
179,0,81,7,160,70.90349999999944,25,0,0,0
180,0,81,8,183,69.03269999999975,22,0,0,0
181,0,83,0,6,128.89310000000006,6,3,3,1
182,0,83,1,34,52.65429999999992,27,0,0,0
183,0,83,2,39,65.34169999999995,4,4,4,1
184,0,83,3,58,87.54370000000017,18,4,1,1
185,0,83,4,92,52.929700000000594,33,2,0,0
186,0,83,5,124,52.92779999999948,31,0,0,0
187,0,83,6,156,53.420100000000275,31,0,0,0
188,0,83,7,185,53.00249999999869,28,0,0,0
189,0,91,0,29,129.47209999999995,29,3,0,0
190,0,91,1,40,855.5304000000001,10,8,8,1
191,0,91,2,44,254.1597000000006,3,2,0,0
192,0,98,0,32,54.4208000000001,32,3,0,0
193,0,98,1,58,91.74559999999974,25,9,1,1
194,0,98,2,92,53.28410000000076,33,2,0,0
195,0,98,3,124,52.934799999999996,31,0,0,0
196,0,98,4,156,53.32080000000042,31,0,0,0
197,0,98,5,168,60.733000000000175,11,0,0,0
198,1,2,0,32,65.47560000000021,32,0,0,0
199,1,2,1,66,66.63910000000033,33,0,0,0
200,1,2,2,99,64.61259999999947,32,0,0,0
201,1,2,3,132,64.4955000000009,32,0,0,0
202,1,2,4,134,52.455800000000636,1,0,0,0
203,1,2,5,153,96.0021999999999,18,4,4,1
204,1,2,6,170,105.09749999999985,16,5,2,1
205,1,2,7,192,137.9973000000009,21,9,1,1
206,1,3,0,31,52.472099999999955,31,0,0,0
207,1,3,1,63,52.51310000000012,31,0,0,0
208,1,3,2,92,52.38969999999972,28,0,0,0
209,1,3,3,122,52.325700000000325,29,0,0,0
210,1,3,4,153,98.1872000000003,30,3,3,1
211,1,3,5,170,99.53359999999975,16,5,2,1
212,1,3,6,192,136.6885999999995,21,9,1,1
213,1,5,0,30,70.11950000000002,30,0,0,0
214,1,5,1,60,68.57830000000013,29,0,0,0
215,1,5,2,90,71.95580000000018,29,0,0,0
216,1,5,3,118,72.53160000000025,27,0,0,0
217,1,5,4,148,71.50829999999951,29,0,149,1
218,1,5,5,158,54.982200000000375,9,8,0,0
219,1,5,6,170,88.87339999999949,11,3,3,1
220,1,5,7,192,156.23309999999947,21,10,2,1
221,1,6,0,30,68.21510000000012,30,0,0,0
222,1,6,1,63,67.65189999999984,32,0,0,0
223,1,6,2,94,67.58399999999983,30,0,0,0
224,1,6,3,125,66.64460000000054,30,0,0,0
225,1,6,4,153,105.72119999999995,27,4,4,1
226,1,6,5,170,109.36189999999988,16,5,2,1
227,1,7,0,32,53.60349999999994,32,0,0,0
228,1,7,1,65,52.772599999999784,32,0,0,0
229,1,7,2,91,58.54329999999982,25,0,0,0
230,1,7,3,121,52.5028999999995,29,0,0,0
231,1,7,4,152,59.77399999999943,30,7,7,1
232,1,7,5,170,71.33860000000004,17,6,5,1
233,1,7,6,190,151.02520000000004,19,9,2,1
234,1,8,0,2,61.6807,2,0,0,0
235,1,8,1,32,53.44150000000013,29,0,0,0
236,1,8,2,63,52.983799999999974,30,0,0,0
237,1,8,3,92,53.13670000000002,28,0,0,0
238,1,8,4,121,53.057700000000295,28,0,0,0
239,1,8,5,155,61.25540000000001,33,7,7,1
240,1,8,6,170,85.04179999999997,14,3,2,1
241,1,8,7,192,143.01620000000003,21,9,1,1
242,1,9,0,31,52.4697000000001,31,0,0,0
243,1,9,1,64,52.379399999999805,32,0,0,0
244,1,9,2,95,51.89309999999978,30,0,0,0
245,1,9,3,125,51.63720000000012,29,0,0,0
246,1,9,4,153,97.47099999999955,27,3,3,1
247,1,10,0,32,65.86130000000003,32,0,0,0
248,1,10,1,65,797.8281000000002,32,0,0,0
249,1,10,2,95,65.51510000000053,29,0,0,0
250,1,10,3,117,65.29280000000017,21,0,0,0
251,1,10,4,137,84.08789999999954,19,6,6,1
252,1,10,5,156,81.33590000000095,18,7,5,1
253,1,10,6,161,133.16830000000027,4,4,10,1
254,1,10,7,176,165.1177000000007,14,4,2,1
255,1,11,0,30,66.33889999999997,30,0,0,0
256,1,11,1,62,67.58050000000003,31,0,0,0
257,1,11,2,94,66.62789999999995,31,0,0,0
258,1,11,3,124,66.32260000000042,29,0,0,0
259,1,11,4,153,100.58179999999993,28,4,4,1
260,1,11,5,170,109.61689999999999,16,5,2,1
261,1,11,6,192,140.2402000000002,21,9,1,1
262,1,12,0,31,51.977600000000166,31,0,0,0
263,1,12,1,62,53.57950000000028,30,0,0,0
264,1,12,2,94,51.910699999999906,31,0,0,0
265,1,12,3,127,52.56919999999991,32,0,0,0
266,1,12,4,129,52.77059999999983,1,0,0,0
267,1,12,5,153,80.91389999999956,23,4,4,1
268,1,12,6,170,84.5038999999997,16,5,2,1
269,1,12,7,192,143.21950000000106,21,9,1,1
