,testid,plen,type,reccnt,top1acc,top1acc_farmost,ot_recall,ot_precision,tau,rmse
4,curtrack,5,aa,115,0.450,0.296,0.083,0.132,3318.000,2081.000
0,curtrack,10,00,2,1.000,1.000,0.444,0.308,9.000,13.000
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.427,0.176,0.030,0.161,3843.000,709.000
3,curtrack,10,11,57,0.316,0.123,0.059,0.081,2502.000,1806.000
4,curtrack,10,aa,110,0.380,0.164,0.042,0.105,6354.000,2528.000
0,zerotrack,2,00,27,0.833,0.778,0.432,0.202,44.000,94.000
1,zerotrack,2,10,11,0.636,0.636,0.311,0.103,45.000,136.000
2,zerotrack,2,01,49,0.582,0.469,0.189,0.614,1028.000,316.000
3,zerotrack,2,11,31,0.661,0.581,0.149,0.113,228.000,300.000
4,zerotrack,2,aa,118,0.665,0.585,0.194,0.309,1345.000,846.000
0,zerotrack,5,00,13,0.846,0.769,0.294,0.118,34.000,85.000
1,zerotrack,5,10,2,1.000,1.000,0.036,0.024,28.000,42.000
2,zerotrack,5,01,54,0.430,0.241,0.069,0.335,2344.000,481.000
3,zerotrack,5,11,46,0.470,0.370,0.092,0.133,912.000,633.000
4,zerotrack,5,aa,115,0.503,0.365,0.077,0.206,3318.000,1241.000
0,zerotrack,10,00,2,1.000,1.000,0.556,0.357,9.000,14.000
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.437,0.216,0.031,0.201,3843.000,591.000
3,zerotrack,10,11,57,0.400,0.228,0.060,0.155,2502.000,977.000
4,zerotrack,10,aa,110,0.428,0.236,0.043,0.174,6354.000,1582.000
0,deepAR,2,00,27,0.685,0.593,0.273,0.040,44.000,298.000
1,deepAR,2,10,11,0.500,0.455,0.267,0.048,45.000,252.000
2,deepAR,2,01,49,0.388,0.265,0.138,0.254,1028.000,558.000
3,deepAR,2,11,31,0.452,0.323,0.197,0.080,228.000,560.000
4,deepAR,2,aa,118,0.483,0.373,0.157,0.126,1345.000,1668.000
0,deepAR,5,00,13,0.462,0.077,0.324,0.035,34.000,316.000
