,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,zerotrack,2,aa,118,0.716,0.644,0.881,0.842,0.897,7.380
0,zerotrack,5,00,13,0.938,0.923,0.982,0.969,0.963,1.333
1,zerotrack,5,10,2,0.500,0.500,0.820,0.800,0.871,4.331
2,zerotrack,5,01,54,0.496,0.333,0.710,0.530,0.725,24.845
3,zerotrack,5,11,46,0.552,0.500,0.810,0.730,0.827,12.211
4,zerotrack,5,aa,115,0.569,0.470,0.782,0.664,0.796,16.777
0,zerotrack,10,00,2,1.000,1.000,1.000,1.000,0.977,0.361
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.482,0.196,0.640,0.341,0.626,37.907
3,zerotrack,10,11,57,0.411,0.281,0.665,0.537,0.695,22.374
4,zerotrack,10,aa,110,0.455,0.255,0.659,0.455,0.668,29.175
0,deepAR,2,00,27,0.722,0.630,0.826,0.741,0.830,10.161
1,deepAR,2,10,11,0.636,0.636,0.682,0.618,0.682,24.545
2,deepAR,2,01,49,0.398,0.245,0.753,0.653,0.745,19.137
3,deepAR,2,11,31,0.419,0.258,0.661,0.581,0.711,21.592
4,deepAR,2,aa,118,0.500,0.373,0.739,0.651,0.749,18.232
0,deepAR,5,00,13,0.477,0.000,0.677,0.446,0.735,20.344
1,deepAR,5,10,2,0.200,0.000,0.480,0.300,0.450,48.077
2,deepAR,5,01,54,0.326,0.167,0.593,0.356,0.588,35.226
3,deepAR,5,11,46,0.409,0.326,0.567,0.391,0.615,29.922
4,deepAR,5,aa,115,0.374,0.209,0.590,0.379,0.613,31.645
0,deepAR,10,00,2,1.000,1.000,0.910,0.800,0.868,5.814
1,deepAR,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,01,51,0.333,0.078,0.563,0.290,0.533,45.476
3,deepAR,10,11,57,0.260,0.105,0.476,0.305,0.508,39.843
4,deepAR,10,aa,110,0.307,0.109,0.524,0.307,0.526,41.836
0,naive,2,00,27,0.833,0.815,0.933,0.911,0.903,6.787
1,naive,2,10,11,0.636,0.636,0.773,0.764,0.717,24.652
2,naive,2,01,49,0.592,0.510,0.786,0.714,0.793,16.351
3,naive,2,11,31,0.565,0.452,0.806,0.742,0.808,14.135
4,naive,2,aa,118,0.644,0.576,0.824,0.771,0.815,14.354
0,naive,5,00,13,0.815,0.769,0.865,0.846,0.785,17.928
1,naive,5,10,2,0.200,0.000,0.560,0.300,0.531,46.577
2,naive,5,01,54,0.474,0.296,0.684,0.511,0.660,29.736
3,naive,5,11,46,0.439,0.304,0.657,0.500,0.655,28.393
4,naive,5,aa,115,0.494,0.348,0.692,0.541,0.670,28.157
0,naive,10,00,2,0.850,0.500,0.960,0.900,0.860,6.764
1,naive,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,01,51,0.445,0.255,0.617,0.345,0.550,44.457
3,naive,10,11,57,0.307,0.140,0.504,0.340,0.508,40.743
4,naive,10,aa,110,0.381,0.200,0.565,0.353,0.534,41.847
0,zero,2,00,27,0.926,0.926,0.993,0.985,0.978,0.798
1,zero,2,10,11,0.955,0.909,0.955,0.945,0.957,1.491
2,zero,2,01,49,0.582,0.469,0.780,0.718,0.824,15.229
3,zero,2,11,31,0.774,0.710,0.916,0.890,0.927,5.731
4,zero,2,aa,118,0.746,0.678,0.881,0.846,0.899,8.151
0,zero,5,00,13,1.000,1.000,1.000,1.000,0.966,1.673
1,zero,5,10,2,1.000,1.000,0.860,0.800,0.927,1.800
2,zero,5,01,54,0.496,0.315,0.702,0.522,0.715,26.597
3,zero,5,11,46,0.661,0.587,0.825,0.743,0.851,11.531
4,zero,5,aa,115,0.628,0.513,0.788,0.670,0.802,17.322
0,zero,10,00,2,1.000,1.000,1.000,1.000,0.950,4.421
1,zero,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,01,51,0.494,0.196,0.646,0.353,0.619,39.859
3,zero,10,11,57,0.542,0.421,0.690,0.572,0.732,20.158
4,zero,10,aa,110,0.528,0.327,0.675,0.478,0.683,29.006
