pred: acc=0.5540540540540541, mae=5.304054054054054,5.304054054054054, rmse=54.8445945945946,r2=-1.1128354848921878, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.0,5.0, rmse=48.28378378378378,r2=-0.9692584986007124, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=5.0675675675675675,5.0675675675675675, rmse=50.2972972972973,r2=-0.7180881506698706, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5, mae=5.202702702702703,5.202702702702703, rmse=50.648648648648646,r2=-0.7877213082789882, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.4864864864864865, mae=5.3108108108108105,5.3108108108108105, rmse=52.13513513513514,r2=-1.123994933516352, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.297297297297297,5.297297297297297, rmse=52.16216216216216,r2=-0.9362699823584144, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.081081081081081,5.081081081081081, rmse=50.9054054054054,r2=-0.9243966801226748, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5135135135135135, mae=5.155405405405405,5.155405405405405, rmse=51.12837837837838,r2=-0.8484000237669256, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5135135135135135, mae=5.074324324324325,5.074324324324325, rmse=50.49324324324324,r2=-0.9789367458238503, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5472972972972973, mae=5.101351351351352,5.101351351351352, rmse=51.33108108108108,r2=-0.9974772956609483, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.047297297297297,5.047297297297297, rmse=49.979729729729726,r2=-1.0184596549969394, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.22972972972973,5.22972972972973, rmse=52.21621621621622,r2=-0.8421960541765521, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5608108108108109, mae=5.081081081081081,5.081081081081081, rmse=51.62162162162162,r2=-0.8448235073378849, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.195945945945946,5.195945945945946, rmse=52.020270270270274,r2=-0.8616549903278092, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5135135135135135, mae=5.087837837837838,5.087837837837838, rmse=49.92567567567568,r2=-0.8095909451945988, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5540540540540541, mae=5.0608108108108105,5.0608108108108105, rmse=50.70945945945946,r2=-0.7801575752136363, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.0675675675675675,5.0675675675675675, rmse=50.83783783783784,r2=-0.8279553300425655, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.04054054054054,5.04054054054054, rmse=50.891891891891895,r2=-0.862976153271509, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=4.993243243243243,4.993243243243243, rmse=48.49324324324324,r2=-0.9654572638185748, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.02027027027027,5.02027027027027, rmse=49.777027027027025,r2=-1.008836318077972, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
