,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
2,curtrack,2,01,48,0.448,0.312,0.752,0.662,0.817,16.823
3,curtrack,2,11,39,0.603,0.538,0.705,0.641,0.821,11.323
4,curtrack,2,aa,188,0.657,0.580,0.858,0.816,0.902,7.127
0,curtrack,5,00,75,0.653,0.573,0.939,0.917,0.963,1.269
1,curtrack,5,10,3,0.467,0.667,0.893,0.867,0.875,5.579
2,curtrack,5,01,59,0.410,0.153,0.721,0.583,0.781,21.642
3,curtrack,5,11,48,0.429,0.188,0.594,0.471,0.743,19.480
4,curtrack,5,aa,185,0.515,0.341,0.779,0.694,0.847,12.562
0,curtrack,10,00,35,0.754,0.800,0.936,0.891,0.946,1.646
1,curtrack,10,10,3,0.600,0.667,0.880,0.800,0.839,7.918
2,curtrack,10,01,69,0.457,0.203,0.694,0.545,0.752,25.746
3,curtrack,10,11,63,0.238,0.063,0.583,0.517,0.676,25.974
4,curtrack,10,aa,170,0.439,0.282,0.706,0.611,0.765,20.554
0,zerotrack,2,00,98,0.781,0.714,0.968,0.963,0.975,0.901
1,zerotrack,2,10,3,0.667,0.667,0.900,0.933,0.900,3.721
2,zerotrack,2,01,48,0.469,0.333,0.756,0.675,0.819,16.615
3,zerotrack,2,11,39,0.603,0.564,0.697,0.646,0.817,11.580
4,zerotrack,2,aa,188,0.662,0.585,0.857,0.823,0.901,7.173
0,zerotrack,5,00,75,0.653,0.573,0.933,0.904,0.964,1.220
1,zerotrack,5,10,3,0.400,0.333,0.880,0.867,0.871,5.313
2,zerotrack,5,01,59,0.407,0.153,0.716,0.580,0.782,21.635
3,zerotrack,5,11,48,0.404,0.208,0.613,0.492,0.743,19.182
4,zerotrack,5,aa,185,0.506,0.341,0.780,0.693,0.847,12.458
0,zerotrack,10,00,35,0.743,0.771,0.935,0.903,0.947,1.552
1,zerotrack,10,10,3,0.367,0.333,0.887,0.867,0.860,6.204
2,zerotrack,10,01,69,0.458,0.203,0.697,0.548,0.752,25.747
3,zerotrack,10,11,63,0.227,0.095,0.598,0.524,0.691,24.227
4,zerotrack,10,aa,170,0.429,0.282,0.713,0.618,0.771,19.858
0,deepAR,2,00,98,0.582,0.520,0.943,0.918,0.943,2.567
1,deepAR,2,10,3,0.833,0.667,0.967,0.933,0.919,3.338
2,deepAR,2,01,48,0.406,0.312,0.742,0.654,0.783,19.597
3,deepAR,2,11,39,0.641,0.538,0.721,0.651,0.814,12.264
4,deepAR,2,aa,188,0.553,0.473,0.846,0.796,0.875,8.939
0,deepAR,5,00,75,0.581,0.520,0.947,0.904,0.944,1.798
1,deepAR,5,10,3,0.667,0.333,0.920,0.867,0.897,4.456
2,deepAR,5,01,59,0.386,0.254,0.702,0.563,0.763,22.857
3,deepAR,5,11,48,0.438,0.229,0.603,0.479,0.736,20.571
4,deepAR,5,aa,185,0.483,0.357,0.779,0.684,0.831,13.428
0,deepAR,10,00,35,0.809,0.771,0.899,0.811,0.902,3.202
1,deepAR,10,10,3,0.600,0.667,0.920,0.933,0.858,6.747
2,deepAR,10,01,69,0.352,0.130,0.690,0.571,0.723,26.206
3,deepAR,10,11,63,0.279,0.111,0.580,0.524,0.658,27.046
4,deepAR,10,aa,170,0.424,0.265,0.697,0.609,0.738,21.438
0,naive,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,naive,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,naive,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,naive,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,naive,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,naive,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,naive,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,naive,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,naive,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,naive,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,naive,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,naive,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,naive,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,naive,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,naive,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
0,zero,2,00,98,0.138,0.143,0.202,0.202,0.082,129.438
1,zero,2,10,3,0.000,0.000,0.200,0.200,0.113,119.579
2,zero,2,01,48,0.156,0.146,0.148,0.146,0.019,145.813
3,zero,2,11,39,0.000,0.000,0.136,0.138,0.056,130.471
4,zero,2,aa,188,0.112,0.112,0.174,0.174,0.061,133.676
0,zero,5,00,75,0.157,0.173,0.205,0.205,0.086,128.355
1,zero,5,10,3,0.067,0.333,0.200,0.200,0.109,119.746
2,zero,5,01,59,0.132,0.119,0.157,0.153,0.028,144.819
3,zero,5,11,48,0.025,0.000,0.144,0.150,0.059,129.617
4,zero,5,aa,185,0.114,0.114,0.174,0.174,0.061,133.793
0,zero,10,00,35,0.211,0.229,0.211,0.211,0.081,127.948
1,zero,10,10,3,0.200,0.333,0.200,0.200,0.109,119.751
2,zero,10,01,69,0.114,0.101,0.164,0.159,0.034,143.908
3,zero,10,11,63,0.081,0.079,0.157,0.162,0.064,128.328
4,zero,10,aa,170,0.124,0.124,0.172,0.172,0.056,134.422
