,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,curtrack,5,11,67,0.651,0.537,0.840,0.746,0.841,11.315
4,curtrack,5,aa,185,0.671,0.557,0.814,0.707,0.812,15.523
0,curtrack,10,00,9,0.844,0.667,0.993,0.978,0.903,4.176
1,curtrack,10,10,6,0.717,0.667,1.000,1.000,0.929,4.567
2,curtrack,10,01,67,0.493,0.254,0.627,0.361,0.592,42.482
3,curtrack,10,11,88,0.572,0.523,0.728,0.598,0.744,19.163
4,curtrack,10,aa,170,0.560,0.429,0.712,0.539,0.699,27.045
0,zerotrack,2,00,64,0.914,0.906,0.991,0.984,0.975,0.736
1,zerotrack,2,10,24,0.917,0.875,0.971,0.967,0.958,1.779
2,zerotrack,2,01,57,0.561,0.439,0.763,0.691,0.775,19.264
3,zerotrack,2,11,43,0.767,0.698,0.919,0.888,0.913,5.802
4,zerotrack,2,aa,188,0.774,0.713,0.903,0.871,0.898,7.645
0,zerotrack,5,00,40,0.965,0.925,0.997,0.985,0.964,1.521
1,zerotrack,5,10,13,0.662,0.615,0.938,0.923,0.950,2.208
2,zerotrack,5,01,65,0.483,0.277,0.657,0.474,0.655,31.853
3,zerotrack,5,11,67,0.654,0.537,0.835,0.734,0.838,11.692
4,zerotrack,5,aa,185,0.662,0.535,0.815,0.710,0.809,15.910
0,zerotrack,10,00,9,0.856,0.667,0.996,0.956,0.904,4.164
1,zerotrack,10,10,6,0.717,0.667,1.000,1.000,0.926,4.905
2,zerotrack,10,01,67,0.499,0.239,0.625,0.358,0.592,42.516
3,zerotrack,10,11,88,0.558,0.489,0.725,0.589,0.741,19.476
4,zerotrack,10,aa,170,0.556,0.406,0.710,0.532,0.697,27.231
0,deepAR,2,00,64,0.906,0.891,0.991,0.984,0.976,0.764
1,deepAR,2,10,24,0.917,0.875,0.971,0.967,0.960,1.679
2,deepAR,2,01,57,0.561,0.456,0.746,0.681,0.782,19.141
3,deepAR,2,11,43,0.779,0.721,0.909,0.879,0.916,5.920
4,deepAR,2,aa,188,0.774,0.718,0.895,0.866,0.901,7.632
0,deepAR,5,00,40,0.975,0.975,0.995,0.995,0.969,1.436
1,deepAR,5,10,13,0.662,0.615,0.935,0.923,0.952,2.085
2,deepAR,5,01,65,0.489,0.323,0.675,0.498,0.690,28.897
3,deepAR,5,11,67,0.651,0.537,0.838,0.752,0.856,10.508
4,deepAR,5,aa,185,0.665,0.562,0.821,0.728,0.829,14.416
0,deepAR,10,00,9,0.889,0.889,1.000,1.000,0.908,4.625
1,deepAR,10,10,6,0.717,0.667,0.993,1.000,0.926,4.956
2,deepAR,10,01,67,0.516,0.284,0.656,0.409,0.636,36.297
3,deepAR,10,11,88,0.555,0.466,0.734,0.625,0.774,16.178
4,deepAR,10,aa,170,0.563,0.424,0.727,0.573,0.732,23.100
0,naive,2,00,64,0.906,0.891,0.991,0.984,0.983,0.534
1,naive,2,10,24,0.917,0.875,0.971,0.967,0.969,1.268
2,naive,2,01,57,0.570,0.456,0.758,0.695,0.800,18.154
3,naive,2,11,43,0.791,0.721,0.919,0.893,0.928,5.402
4,naive,2,aa,188,0.779,0.718,0.901,0.873,0.913,7.083
0,naive,5,00,40,0.975,0.975,1.000,1.000,0.975,1.005
1,naive,5,10,13,0.662,0.615,0.938,0.923,0.958,1.607
2,naive,5,01,65,0.486,0.308,0.686,0.514,0.701,28.397
3,naive,5,11,67,0.660,0.522,0.843,0.758,0.866,10.037
4,naive,5,aa,185,0.667,0.551,0.828,0.736,0.838,13.943
0,naive,10,00,9,0.889,0.889,1.000,1.000,0.921,3.741
1,naive,10,10,6,0.717,0.667,1.000,1.000,0.941,3.260
2,naive,10,01,67,0.507,0.254,0.645,0.388,0.636,37.330
3,naive,10,11,88,0.550,0.455,0.744,0.636,0.779,16.305
4,naive,10,aa,170,0.557,0.406,0.728,0.571,0.736,23.466
0,zero,2,00,64,0.000,0.000,0.106,0.106,-0.194,170.053
1,zero,2,10,24,0.000,0.000,0.175,0.175,-0.119,149.835
2,zero,2,01,57,0.018,0.018,0.135,0.137,-0.052,136.900
3,zero,2,11,43,0.047,0.047,0.140,0.135,-0.060,132.149
4,zero,2,aa,188,0.016,0.016,0.131,0.131,-0.111,148.751
0,zero,5,00,40,0.000,0.000,0.090,0.090,-0.218,179.428
1,zero,5,10,13,0.000,0.000,0.138,0.138,-0.244,184.211
2,zero,5,01,65,0.015,0.015,0.122,0.132,-0.068,140.454
3,zero,5,11,67,0.030,0.030,0.165,0.149,-0.057,130.721
4,zero,5,aa,185,0.016,0.016,0.132,0.130,-0.109,148.431
0,zero,10,00,9,0.000,0.000,0.000,0.000,-0.224,185.056
1,zero,10,10,6,0.000,0.000,0.133,0.133,-0.304,199.634
2,zero,10,01,67,0.015,0.015,0.102,0.137,-0.103,151.873
3,zero,10,11,88,0.031,0.023,0.157,0.125,-0.068,132.699
4,zero,10,aa,170,0.022,0.018,0.126,0.124,-0.098,145.390
