,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
1,predpit,10,10,6,0.667,0.667,0.643,0.500,0.567,64.654
2,predpit,10,01,67,0.369,0.179,0.540,0.388,0.505,52.485
3,predpit,10,11,88,0.348,0.205,0.518,0.420,0.524,45.302
4,predpit,10,aa,170,0.369,0.212,0.525,0.399,0.497,53.226
0,curtrack,2,00,64,0.852,0.812,0.945,0.922,0.943,3.882
1,curtrack,2,10,24,0.688,0.625,0.854,0.817,0.864,8.900
2,curtrack,2,01,57,0.596,0.491,0.782,0.716,0.814,15.416
3,curtrack,2,11,43,0.442,0.326,0.747,0.674,0.783,17.281
4,curtrack,2,aa,188,0.660,0.580,0.839,0.789,0.857,11.084
0,curtrack,5,00,40,0.895,0.875,0.903,0.890,0.902,8.708
1,curtrack,5,10,13,0.415,0.385,0.637,0.569,0.654,42.527
2,curtrack,5,01,65,0.480,0.277,0.678,0.505,0.699,27.348
3,curtrack,5,11,67,0.379,0.239,0.633,0.487,0.697,25.527
4,curtrack,5,aa,185,0.529,0.400,0.707,0.586,0.739,23.725
0,curtrack,10,00,9,0.722,0.667,0.753,0.689,0.623,44.140
1,curtrack,10,10,6,0.683,0.667,0.723,0.667,0.706,38.406
2,curtrack,10,01,67,0.421,0.179,0.603,0.358,0.618,37.425
3,curtrack,10,11,88,0.292,0.170,0.536,0.391,0.604,34.237
4,curtrack,10,aa,170,0.379,0.218,0.580,0.404,0.614,36.165
0,zerotrack,2,00,64,0.875,0.859,0.958,0.944,0.954,2.282
1,zerotrack,2,10,24,0.708,0.667,0.854,0.825,0.888,6.086
2,zerotrack,2,01,57,0.596,0.491,0.781,0.709,0.813,15.430
3,zerotrack,2,11,43,0.430,0.372,0.784,0.744,0.823,12.993
4,zerotrack,2,aa,188,0.668,0.612,0.851,0.812,0.873,9.204
0,zerotrack,5,00,40,0.900,0.900,0.932,0.925,0.942,3.007
1,zerotrack,5,10,13,0.446,0.385,0.812,0.769,0.827,13.147
2,zerotrack,5,01,65,0.474,0.262,0.685,0.517,0.707,26.374
3,zerotrack,5,11,67,0.397,0.343,0.700,0.594,0.767,18.357
4,zerotrack,5,aa,185,0.536,0.438,0.753,0.651,0.788,17.488
0,zerotrack,10,00,9,0.700,0.667,0.796,0.689,0.684,34.532
1,zerotrack,10,10,6,0.683,0.667,0.907,0.867,0.865,10.061
2,zerotrack,10,01,67,0.439,0.179,0.615,0.367,0.629,35.990
3,zerotrack,10,11,88,0.362,0.250,0.647,0.527,0.700,22.745
4,zerotrack,10,aa,170,0.422,0.259,0.651,0.485,0.677,28.141
0,deepAR,2,00,64,0.781,0.750,0.906,0.884,0.862,12.286
1,deepAR,2,10,24,0.688,0.625,0.792,0.758,0.760,22.445
2,deepAR,2,01,57,0.526,0.456,0.763,0.698,0.749,19.993
3,deepAR,2,11,43,0.442,0.349,0.686,0.614,0.714,24.955
