,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
1,predpit,10,10,3,0.633,0.667,0.893,0.800,0.855,6.643
2,predpit,10,01,69,0.391,0.159,0.698,0.586,0.754,23.220
3,predpit,10,11,63,0.294,0.111,0.606,0.571,0.702,22.759
4,predpit,10,aa,170,0.429,0.253,0.703,0.622,0.763,18.929
0,curtrack,2,00,98,0.857,0.847,0.967,0.961,0.970,1.044
1,curtrack,2,10,3,0.833,0.667,0.933,0.933,0.902,4.171
2,curtrack,2,01,48,0.479,0.354,0.756,0.671,0.822,16.185
3,curtrack,2,11,39,0.654,0.564,0.713,0.646,0.820,11.304
4,curtrack,2,aa,188,0.718,0.660,0.860,0.821,0.900,7.088
0,curtrack,5,00,75,0.605,0.560,0.932,0.893,0.945,2.001
1,curtrack,5,10,3,0.400,0.333,0.853,0.800,0.868,6.012
2,curtrack,5,01,59,0.471,0.271,0.716,0.580,0.767,23.017
3,curtrack,5,11,48,0.346,0.146,0.555,0.412,0.721,20.818
4,curtrack,5,aa,185,0.492,0.357,0.764,0.667,0.829,13.651
0,curtrack,10,00,35,0.674,0.629,0.894,0.840,0.895,3.891
1,curtrack,10,10,3,0.367,0.333,0.873,0.867,0.832,8.123
2,curtrack,10,01,69,0.401,0.145,0.703,0.588,0.750,23.911
3,curtrack,10,11,63,0.257,0.111,0.548,0.451,0.641,30.251
4,curtrack,10,aa,170,0.404,0.235,0.688,0.594,0.741,21.860
0,zerotrack,2,00,98,0.847,0.827,0.970,0.967,0.969,1.080
1,zerotrack,2,10,3,0.667,0.667,0.967,1.000,0.891,4.503
2,zerotrack,2,01,48,0.448,0.292,0.752,0.667,0.822,16.157
3,zerotrack,2,11,39,0.705,0.667,0.728,0.692,0.819,11.536
4,zerotrack,2,aa,188,0.713,0.654,0.864,0.834,0.899,7.153
0,zerotrack,5,00,75,0.611,0.573,0.927,0.888,0.946,1.952
1,zerotrack,5,10,3,0.400,0.333,0.867,0.800,0.864,5.877
2,zerotrack,5,01,59,0.461,0.271,0.713,0.576,0.766,23.100
3,zerotrack,5,11,48,0.362,0.146,0.577,0.458,0.727,20.130
4,zerotrack,5,aa,185,0.495,0.362,0.767,0.676,0.830,13.476
0,zerotrack,10,00,35,0.691,0.657,0.886,0.834,0.894,3.924
1,zerotrack,10,10,3,0.433,0.333,0.873,0.867,0.840,7.503
2,zerotrack,10,01,69,0.386,0.145,0.699,0.571,0.751,23.902
3,zerotrack,10,11,63,0.260,0.127,0.581,0.533,0.688,23.820
4,zerotrack,10,aa,170,0.403,0.247,0.697,0.616,0.759,19.469
0,deepAR,2,00,98,0.668,0.653,0.952,0.939,0.946,2.389
1,deepAR,2,10,3,0.833,0.667,0.967,0.933,0.915,3.369
2,deepAR,2,01,48,0.427,0.333,0.733,0.650,0.782,19.351
3,deepAR,2,11,39,0.654,0.564,0.692,0.610,0.800,12.963
4,deepAR,2,aa,188,0.606,0.553,0.843,0.797,0.874,8.929
0,deepAR,5,00,75,0.787,0.747,0.959,0.944,0.952,1.237
1,deepAR,5,10,3,0.667,0.333,0.907,0.867,0.896,4.478
2,deepAR,5,01,59,0.424,0.237,0.711,0.580,0.764,23.737
3,deepAR,5,11,48,0.421,0.229,0.596,0.463,0.731,21.162
4,deepAR,5,aa,185,0.574,0.443,0.785,0.702,0.834,13.635
0,deepAR,10,00,35,0.811,0.743,0.897,0.834,0.895,3.630
1,deepAR,10,10,3,0.633,0.667,0.900,0.867,0.853,7.127
2,deepAR,10,01,69,0.345,0.101,0.647,0.467,0.712,27.562
3,deepAR,10,11,63,0.263,0.127,0.573,0.524,0.653,27.560
4,deepAR,10,aa,170,0.416,0.253,0.675,0.571,0.730,22.273
0,naive,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,naive,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,naive,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,naive,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,naive,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,naive,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,naive,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,naive,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,naive,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,naive,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,naive,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,naive,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,naive,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
