MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
17265,1,186,8,10764.6677,0.0,144.45479999999952
17389,1,187,8,10915.9073,0.0,151.2396000000008
17516,1,188,15,11055.2197,7.0,139.3123999999989
17605,1,189,15,11136.6362,0.0,81.41650000000118
17669,1,190,15,11178.968,0.0,42.33179999999993
17740,1,191,14,11220.6769,-1.0,41.70889999999963
17805,1,192,14,11260.7554,0.0,40.07849999999962
17873,1,193,14,11302.0292,0.0,41.27380000000085
17939,1,194,14,11342.5554,0.0,40.526199999998425
18005,1,195,14,11384.0191,0.0,41.463700000000244
18080,1,196,14,11426.4818,0.0,42.46270000000004
18151,1,197,14,11467.1763,0.0,40.69449999999961
18220,1,198,14,11507.8061,0.0,40.629800000000614
18290,1,199,14,11548.3305,0.0,40.52440000000024
18359,1,200,14,11589.4097,0.0,41.07920000000013
20,3,0,19,2.8845,0.0,0.0
95,3,1,21,47.387,2.0,44.5025
169,3,2,20,88.8325,-1.0,41.445499999999996
243,3,3,19,129.8996,-1.0,41.067099999999996
316,3,4,19,171.136,0.0,41.2364
397,3,5,19,212.4815,0.0,41.345500000000015
476,3,6,19,254.1432,0.0,41.661699999999996
553,3,7,19,295.4128,0.0,41.2696
630,3,8,18,336.0987,-1.0,40.685900000000004
706,3,9,18,376.5111,0.0,40.41239999999999
786,3,10,18,416.9829,0.0,40.47179999999997
870,3,11,18,458.8241,0.0,41.841200000000015
951,3,12,18,500.1171,0.0,41.293000000000006
1033,3,13,17,541.4827,-1.0,41.36560000000003
1116,3,14,16,582.5988,-1.0,41.11609999999996
1198,3,15,16,623.3446,0.0,40.74580000000003
1281,3,16,16,663.8796,0.0,40.53499999999997
1366,3,17,16,704.4428,0.0,40.56320000000005
1449,3,18,16,745.0567,0.0,40.613899999999944
1532,3,19,16,786.0699,0.0,41.01319999999998
1616,3,20,16,826.9475,0.0,40.87760000000003
1701,3,21,16,868.1618,0.0,41.21429999999998
1787,3,22,15,909.2784,-1.0,41.11660000000006
1866,3,23,15,950.4657,0.0,41.18729999999994
1948,3,24,15,991.7119,0.0,41.246200000000044
2032,3,25,15,1033.2668,0.0,41.55490000000009
2117,3,26,14,1074.4404,-1.0,41.17359999999985
2206,3,27,14,1115.0195,0.0,40.57910000000015
2296,3,28,13,1155.8832,-1.0,40.86369999999988
2505,3,29,23,1222.6258,10.0,66.74260000000004
2636,3,30,21,1278.6001,-2.0,55.974300000000085
2754,3,31,17,1318.8417,-4.0,40.241599999999835
2875,3,32,12,1359.1185,-5.0,40.276800000000094
2987,3,33,12,1400.4752,0.0,41.356700000000046
3082,3,34,12,1443.1176,0.0,42.64239999999995
3170,3,35,12,1483.6452,0.0,40.52759999999989
3258,3,36,12,1524.0565,0.0,40.41129999999998
3345,3,37,12,1564.5428,0.0,40.48630000000003
3434,3,38,12,1604.9048,0.0,40.36200000000008
3521,3,39,12,1645.4178,0.0,40.51299999999992
3609,3,40,12,1686.0278,0.0,40.61000000000013
3699,3,41,12,1726.7027,0.0,40.67489999999998
3783,3,42,11,1767.3445,-1.0,40.641799999999876
3871,3,43,11,1809.1207,0.0,41.77620000000002
3955,3,44,11,1850.3069,0.0,41.1862000000001
4041,3,45,11,1890.8712,0.0,40.5643
4127,3,46,11,1931.7558,0.0,40.884599999999864
4215,3,47,11,1972.1297,0.0,40.37390000000005
4302,3,48,10,2012.4984,-1.0,40.36869999999999
4391,3,49,10,2052.8779999999997,0.0,40.379599999999755
4480,3,50,9,2093.4521,-1.0,40.57410000000027
4567,3,51,9,2133.9021,0.0,40.44999999999982
4653,3,52,9,2174.7713,0.0,40.86920000000009
4737,3,53,8,2229.5518,-1.0,54.7805000000003
4843,3,54,8,2341.4473,0.0,111.89549999999963
4934,3,55,8,2507.7306,0.0,166.28330000000005
6314,3,56,8,2687.8355,0.0,180.10490000000027
6457,3,57,23,2810.6055,15.0,122.76999999999998
6574,3,58,22,2901.0013,-1.0,90.39579999999978
6661,3,59,22,2994.4343,0.0,93.43299999999999
6731,3,60,18,3070.8409,-4.0,76.40660000000025
6814,3,61,20,3114.3577,2.0,43.516799999999876
6892,3,62,20,3155.1854,0.0,40.82769999999982
6970,3,63,20,3195.6090000000004,0.0,40.42360000000053
7045,3,64,19,3236.6527,-1.0,41.04369999999972
7119,3,65,19,3276.8489,0.0,40.19619999999986
7202,3,66,18,3323.8852,-1.0,47.03630000000021
7296,3,67,18,3413.3027,0.0,89.41750000000002
7383,3,68,18,3515.882,0.0,102.57929999999988
7474,3,69,20,3627.0461,2.0,111.16409999999996
7588,3,70,26,3755.4415,6.0,128.39539999999988
7673,3,71,26,3862.0543,0.0,106.61279999999988
7766,3,72,26,3982.3621,0.0,120.30780000000004
7853,3,73,26,4082.0972,0.0,99.73510000000033
7940,3,74,26,4176.7841,0.0,94.6868999999997
8013,3,75,26,4256.7673,0.0,79.98320000000058
8092,3,76,26,4313.4319,0.0,56.664599999999155
8167,3,77,26,4354.3606,0.0,40.92870000000039
8245,3,78,26,4395.2242,0.0,40.86359999999968
8320,3,79,26,4436.1396,0.0,40.91540000000077
8392,3,80,26,4477.9396,0.0,41.79999999999927
8474,3,81,26,4520.6116,0.0,42.67200000000048
8543,3,82,6,4582.0342,-20.0,61.422599999999875
8656,3,83,3,4677.3749,-3.0,95.34069999999974
8767,3,84,3,4763.0041,0.0,85.62920000000031
8836,3,85,4,4804.9924,1.0,41.98829999999998
8913,3,86,5,4845.1175,1.0,40.1251000000002
8987,3,87,4,4886.8484,-1.0,41.730899999999565
9060,3,88,5,4927.2029999999995,1.0,40.354599999999664
