,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all
117,-5,1,23,3,1,0,15,12,0.36363636363636365,0,0,12.414634146341463,13.89655172413793,-1,-1.0,0,0.0
118,4,1,23,4,1,0,15,7,0.21212121212121213,0,0,13.666666666666666,13.837606837606838,-5,-2.0,-4,-1.3333333333333333
119,8,1,23,5,1,1,15,11,0.3333333333333333,0,0,17.65,14.394160583941606,4,-0.8,9,1.25
120,-1,1,23,6,1,1,15,19,0.5757575757575758,0,0,16.0625,14.568627450980392,8,0.6666666666666666,4,1.8
121,-8,1,23,7,1,1,15,18,0.5454545454545454,0,0,18.666666666666668,14.647435897435898,-1,0.42857142857142855,-9,0.0
122,8,1,23,8,1,0,15,10,0.30303030303030304,0,0,14.771428571428572,14.670157068062828,-8,-0.625,-7,-1.0
123,0,1,24,0,0,0,24,24,0.7272727272727273,0,0,24.0,24.0,0,0.0,0,0.0
124,-4,1,24,1,1,0,24,24,0.7272727272727273,0,0,24.892857142857142,24.892857142857142,0,0.0,0,0.0
125,-6,1,24,2,1,1,24,20,0.6060606060606061,0,0,22.27777777777778,23.869565217391305,-4,-2.0,0,0.0
126,-5,1,24,3,1,0,24,14,0.42424242424242425,0,0,17.232558139534884,20.662921348314608,-6,-3.3333333333333335,-2,-3.0
127,4,1,24,4,1,0,24,9,0.2727272727272727,0,0,15.03125,19.173553719008265,-5,-3.75,1,-1.6666666666666667
128,-4,1,25,0,0,0,23,23,0.696969696969697,0,0,23.0,23.0,0,0.0,0,0.0
129,3,1,25,1,1,0,23,19,0.5757575757575758,0,0,20.966666666666665,20.966666666666665,-4,-4.0,0,0.0
130,1,1,25,2,1,1,23,22,0.6666666666666666,0,0,19.8125,20.565217391304348,3,-0.5,0,0.0
131,-16,1,25,3,1,1,23,23,0.696969696969697,0,0,21.75,20.924242424242426,1,0.0,-2,2.5
132,-2,1,25,4,1,0,23,7,0.21212121212121213,0,0,21.555555555555557,21.147058823529413,-16,-4.0,-17,-4.0
133,15,1,25,5,1,1,23,5,0.15151515151515152,1,0,17.34285714285714,20.175182481751825,-2,-3.6,14,0.5
134,-18,1,25,6,1,1,23,20,0.6060606060606061,0,0,16.75,19.81699346405229,15,-0.5,17,3.8
