,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
1373,-1,6,10,5,1,1,29,11,0.3333333333333333,0,0,6.5,19.8,11,5.4,6,2.5,59.95025,4.2638500000000015,42.66276614173229,5.985482381776292,59.95025,4.2638500000000015,46.82603450704226,15.617360516736648,2,30,59.95025,0,0,0,0,0,0
1375,-3,6,12,1,1,0,6,9,0.2727272727272727,0,0,4.5,4.5,-3,-3.0,0,0.0,63.106500000000004,21.114600000000003,44.02375161290323,11.136495939604162,63.106500000000004,21.114600000000003,49.190534285714286,18.543013473727093,2,35,63.106500000000004,0,0,0,0,0,0
1376,6,6,12,2,1,0,6,2,0.06060606060606061,1,0,11.0,7.75,-3,-3.0,0,0.0,59.22255,6.44745,43.0474234375,8.487027757236744,59.22255,6.44745,45.76422794117647,14.136472553083115,2,33,59.22255,0,0,0,0,0,0
1377,10,6,12,3,1,0,6,9,0.2727272727272727,0,0,7.0,7.5,6,0.0,9,4.5,62.382400000000004,9.7225,43.44568020833333,8.907789921545026,62.382400000000004,9.7225,47.81014528301887,17.02004137031384,2,38,62.382400000000004,0,0,0,0,0,0
1378,6,6,12,4,1,0,6,13,0.3939393939393939,0,0,14.5,9.25,10,2.5,4,4.333333333333333,58.44,6.7056000000000004,43.139103174603164,8.124754974492799,58.44,6.7056000000000004,46.563361029411766,15.366919220401625,2,30,58.44,0,0,0,0,0,0
1379,9,6,12,5,1,0,6,3,0.09090909090909091,1,0,16.0,10.6,6,3.2,-4,2.25,52.0673,0.0,43.075688387096776,7.801374112618009,66.74325,14.67595,48.136826704545456,16.71982520187903,2,40,66.74325,0,0,0,0,0,0
1381,-3,6,14,1,1,0,16,19,0.5757575757575758,0,0,16.5,16.5,-1,-1.0,0,0.0,59.737899999999996,16.0776,43.87746333333334,9.343022300037012,59.737899999999996,16.0776,49.14418,17.89155022675389,2,35,59.737899999999996,0,0,0,0,0,0
1382,6,6,14,2,1,0,16,12,0.36363636363636365,0,0,21.0,18.75,-3,-2.0,0,0.0,61.40895,6.70825,43.05347142857142,7.495628430496843,61.40895,6.70825,45.82486911764706,13.762884799570626,2,33,61.40895,0,0,0,0,0,0
1383,8,6,14,3,1,0,16,9,0.2727272727272727,0,0,16.0,17.833333333333332,6,0.6666666666666666,9,3.5,61.565200000000004,6.854800000000001,43.329117021276595,7.963217382261837,61.565200000000004,6.854800000000001,47.68123809523809,16.36635066886516,2,37,61.565200000000004,0,0,0,0,0,0
1384,16,6,14,4,1,1,16,8,0.24242424242424243,0,0,14.0,16.875,8,2.5,2,3.0,60.1469,6.711299999999998,43.0251062992126,7.306568456158284,60.1469,6.711299999999998,46.850223404255324,14.94088797613481,2,36,60.1469,0,0,0,0,0,0
