,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
3530,24,126,24.0,21.0,-3.0,-1,22.0,-2.0,-1
3531,25,126,18.0,14.0,-4.0,-1,17.0,-1.0,-1
3532,26,126,21.0,19.0,-2.0,-1,20.0,-1.0,-1
3533,27,126,7.0,4.0,-3.0,-1,4.0,-3.0,-1
3534,28,126,2.0,0.0,-2.0,-1,1.0,-1.0,-1
3535,29,126,13.0,10.0,-3.0,-1,10.0,-3.0,-1
3536,59,126,19.0,22.0,3.0,1,25.0,6.0,1
3537,60,126,9.0,6.0,-3.0,-1,6.0,-3.0,-1
3538,64,126,8.0,5.0,-3.0,-1,5.0,-3.0,-1
3539,66,126,15.0,11.0,-4.0,-1,13.0,-2.0,-1
3540,88,126,26.0,26.0,0.0,0,24.0,-2.0,-1
3541,98,126,20.0,18.0,-2.0,-1,18.0,-2.0,-1
3542,1,127,9.0,3.0,-6.0,-1,5.0,-4.0,-1
3543,3,127,4.0,15.0,11.0,1,9.0,5.0,1
3544,4,127,25.0,22.0,-3.0,-1,21.0,-4.0,-1
3545,6,127,11.0,6.0,-5.0,-1,6.0,-5.0,-1
3546,7,127,27.0,27.0,0.0,0,27.0,0.0,0
3547,9,127,3.0,8.0,5.0,1,15.0,12.0,1
3548,12,127,0.0,10.0,10.0,1,0.0,0.0,0
3549,14,127,14.0,19.0,5.0,1,22.0,8.0,1
3550,15,127,10.0,5.0,-5.0,-1,7.0,-3.0,-1
3551,17,127,24.0,23.0,-1.0,-1,23.0,-1.0,-1
3552,18,127,5.0,0.0,-5.0,-1,1.0,-4.0,-1
3553,19,127,15.0,11.0,-4.0,-1,13.0,-2.0,-1
3554,20,127,17.0,13.0,-4.0,-1,12.0,-5.0,-1
3555,21,127,21.0,26.0,5.0,1,26.0,5.0,1
3556,22,127,2.0,14.0,12.0,1,8.0,6.0,1
3557,23,127,22.0,20.0,-2.0,-1,19.0,-3.0,-1
3558,24,127,23.0,21.0,-2.0,-1,20.0,-3.0,-1
3559,25,127,16.0,12.0,-4.0,-1,14.0,-2.0,-1
3560,26,127,20.0,18.0,-2.0,-1,18.0,-2.0,-1
3561,27,127,6.0,17.0,11.0,1,17.0,11.0,1
3562,28,127,1.0,4.0,3.0,1,2.0,1.0,1
3563,29,127,12.0,7.0,-5.0,-1,10.0,-2.0,-1
3564,59,127,18.0,25.0,7.0,1,25.0,7.0,1
3565,60,127,8.0,2.0,-6.0,-1,4.0,-4.0,-1
3566,64,127,7.0,1.0,-6.0,-1,3.0,-4.0,-1
3567,66,127,13.0,9.0,-4.0,-1,11.0,-2.0,-1
