,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
25,deepAR-Oracle-curtrack,10,True,r0.5,0.38333333333333336,0.16666666666666666,0.7033333333333334,0.6333333333333333,0.6524765915764638,16.494449275362317
26,deepAR,10,True,r0.5,0.08333333333333333,0.16666666666666666,0.43666666666666665,0.26666666666666666,0.3928448397013615,41.21240901771336
27,naive,10,True,r0.5,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
28,deepAR-Oracle-curtrack,10,True,r0.5,0.23333333333333334,0.0,0.5166666666666667,0.26666666666666666,0.5065838237446934,30.465053140096618
29,deepAR-Oracle-zerotrack,10,True,r0.5,0.3,0.0,0.5,0.23333333333333334,0.5390315960112636,28.504453301127214
30,deepAR-Oracle,10,True,r0.6,0.7166666666666667,0.6666666666666666,0.7466666666666667,0.6333333333333333,0.6383196048291956,18.319421095008053
31,deepAR-Oracle-curtrack,10,True,r0.6,0.6166666666666667,0.5,0.7433333333333333,0.6,0.6350917461055569,19.039140901771336
32,deepAR,10,True,r0.6,0.23333333333333334,0.0,0.4633333333333333,0.26666666666666666,0.4172080713356929,41.71334219001611
33,naive,10,True,r0.6,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
34,deepAR-Oracle-curtrack,10,True,r0.6,0.38333333333333336,0.16666666666666666,0.5733333333333334,0.43333333333333335,0.5154323193572554,30.294661030595808
35,deepAR-Oracle-zerotrack,10,True,r0.6,0.45,0.16666666666666666,0.63,0.4666666666666667,0.5873396423742971,25.91648792270531
36,deepAR-Oracle,20,True,r0.5,0.075,0.0,0.495,0.3,0.25850410272804775,48.039583333333326
37,deepAR-Oracle-curtrack,20,True,r0.5,0.15,0.0,0.56,0.3,0.5047609406081273,25.386805555555554
38,deepAR,20,True,r0.5,0.05,0.0,0.325,0.3,0.34971351946575735,37.298611111111114
39,naive,20,True,r0.5,0.325,0.5,0.48,0.4,0.5217240338164251,26.020138888888887
40,deepAR-Oracle-curtrack,20,True,r0.5,0.15,0.0,0.555,0.3,0.4776197961068485,28.179166666666674
41,deepAR-Oracle-zerotrack,20,True,r0.5,0.3,0.0,0.49,0.2,0.5094654021028702,26.88125
42,deepAR-Oracle,20,True,r0.6,0.45,0.5,0.715,0.6,0.5794745488775221,20.700694444444444
43,deepAR-Oracle-curtrack,20,True,r0.6,0.375,0.0,0.765,0.5,0.5768725134981529,20.998611111111114
44,deepAR,20,True,r0.6,0.05,0.0,0.29,0.3,0.1226001705029838,69.3951388888889
45,naive,20,True,r0.6,0.325,0.5,0.48,0.4,0.5217240338164251,26.020138888888887
46,deepAR-Oracle-curtrack,20,True,r0.6,0.175,0.0,0.615,0.4,0.5544918655868145,22.072916666666664
47,deepAR-Oracle-zerotrack,20,True,r0.6,0.475,0.5,0.515,0.3,0.5479197747939756,23.1
48,deepAR-Oracle,30,True,r0.5,0.23333333333333334,1.0,0.3333333333333333,0.6,0.2407843137254902,35.8962962962963
49,deepAR-Oracle-curtrack,30,True,r0.5,0.2,0.0,0.34,0.4,0.26510530137981114,34.13333333333333
50,deepAR,30,True,r0.5,0.03333333333333333,0.0,0.32666666666666666,0.8,0.2273275236020334,37.31481481481482
51,naive,30,True,r0.5,0.16666666666666666,1.0,0.32666666666666666,0.8,0.2688671023965141,34.42222222222222
52,deepAR-Oracle-curtrack,30,True,r0.5,0.16666666666666666,0.0,0.22666666666666666,0.2,0.10115468409586055,45.87037037037037
53,deepAR-Oracle-zerotrack,30,True,r0.5,0.06666666666666667,0.0,0.23333333333333334,0.2,0.07108932461873638,48.75925925925926
54,deepAR-Oracle,30,True,r0.6,0.6,0.0,0.58,0.0,0.34344952795933187,29.388888888888882
55,deepAR-Oracle-curtrack,30,True,r0.6,0.1,0.0,0.56,0.0,0.405199709513435,26.1962962962963
56,deepAR,30,True,r0.6,0.1,0.0,0.41333333333333333,0.4,0.2923021060275962,32.0
57,naive,30,True,r0.6,0.16666666666666666,1.0,0.32666666666666666,0.8,0.2688671023965141,34.42222222222222
58,deepAR-Oracle-curtrack,30,True,r0.6,0.03333333333333333,0.0,0.5133333333333333,0.0,0.2533042846768337,34.648148148148145
59,deepAR-Oracle-zerotrack,30,True,r0.6,0.43333333333333335,0.0,0.5066666666666667,0.2,0.32021786492374726,29.870370370370367
60,deepAR-Oracle,2,False,r0.5,0.7894736842105263,0.7368421052631579,0.8157894736842105,0.7789473684210526,0.8447801442884897,7.587960844139334
61,deepAR-Oracle-curtrack,2,False,r0.5,0.6842105263157895,0.631578947368421,0.8578947368421053,0.8210526315789474,0.8656890074523673,6.652517162471395
62,deepAR,2,False,r0.5,0.4473684210526316,0.42105263157894735,0.6894736842105263,0.631578947368421,0.7209416006885384,15.841216628527846
63,naive,2,False,r0.5,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
64,deepAR-Oracle-curtrack,2,False,r0.5,0.47368421052631576,0.3684210526315789,0.8157894736842105,0.7578947368421053,0.8280028206414665,9.359324942791758
65,deepAR-Oracle-zerotrack,2,False,r0.5,0.5263157894736842,0.47368421052631576,0.8210526315789474,0.7684210526315789,0.8270580213223905,8.895354691075514
66,deepAR-Oracle,2,False,r0.6,0.868421052631579,0.8421052631578947,0.868421052631579,0.8315789473684211,0.88463498220868,5.779867785405544
67,deepAR-Oracle-curtrack,2,False,r0.6,0.8421052631578947,0.8947368421052632,0.8789473684210526,0.8421052631578947,0.8840612852172279,5.504721586575133
68,deepAR,2,False,r0.6,0.47368421052631576,0.42105263157894735,0.7894736842105263,0.7263157894736842,0.810999940854228,10.890408085430966
69,naive,2,False,r0.6,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
70,deepAR-Oracle-curtrack,2,False,r0.6,0.6578947368421053,0.631578947368421,0.8105263157894737,0.7473684210526316,0.8276734976634019,10.66304983473176
71,deepAR-Oracle-zerotrack,2,False,r0.6,0.7368421052631579,0.7368421052631579,0.8368421052631579,0.7684210526315789,0.8348952100082802,8.088258326976863
72,deepAR-Oracle,5,False,r0.5,0.6285714285714286,0.42857142857142855,0.7828571428571428,0.7428571428571429,0.7760571015230863,10.665871635610767
73,deepAR-Oracle-curtrack,5,False,r0.5,0.6285714285714286,0.42857142857142855,0.7485714285714286,0.7142857142857143,0.7683026346770593,11.790038647342998
74,deepAR,5,False,r0.5,0.17142857142857143,0.0,0.4742857142857143,0.3142857142857143,0.5170458210161535,31.31514699792961
75,naive,5,False,r0.5,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
76,deepAR-Oracle-curtrack,5,False,r0.5,0.37142857142857144,0.2857142857142857,0.6171428571428571,0.4857142857142857,0.6254382435978345,24.28583160800552
77,deepAR-Oracle-zerotrack,5,False,r0.5,0.5714285714285714,0.42857142857142855,0.6571428571428571,0.6,0.6192728128932733,23.688815734989646
78,deepAR-Oracle,5,False,r0.6,0.7428571428571429,0.5714285714285714,0.7828571428571428,0.7428571428571429,0.8089800171979202,9.339312629399586
79,deepAR-Oracle-curtrack,5,False,r0.6,0.8,0.8571428571428571,0.7657142857142857,0.7142857142857143,0.7796872709558132,11.306379572118704
80,deepAR,5,False,r0.6,0.3142857142857143,0.14285714285714285,0.5028571428571429,0.37142857142857144,0.5724514933773247,29.884964803312624
81,naive,5,False,r0.6,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
82,deepAR-Oracle-curtrack,5,False,r0.6,0.4857142857142857,0.5714285714285714,0.64,0.5714285714285714,0.641898471747065,23.630154589371983
83,deepAR-Oracle-zerotrack,5,False,r0.6,0.42857142857142855,0.42857142857142855,0.6628571428571428,0.5714285714285714,0.6570771020397619,21.921133195307107
84,deepAR-Oracle,10,False,r0.5,0.5,0.3333333333333333,0.6333333333333333,0.6,0.44752048877522027,31.19996296296296
85,deepAR-Oracle-curtrack,10,False,r0.5,0.23333333333333334,0.0,0.6,0.6666666666666666,0.5375967320261438,23.376962962962963
86,deepAR,10,False,r0.5,0.03333333333333333,0.0,0.31333333333333335,0.2,0.26325269489438297,49.59896296296296
87,naive,10,False,r0.5,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
88,deepAR-Oracle-curtrack,10,False,r0.5,0.13333333333333333,0.3333333333333333,0.35333333333333333,0.26666666666666666,0.3886968172776357,36.22533333333333
89,deepAR-Oracle-zerotrack,10,False,r0.5,0.23333333333333334,0.0,0.37333333333333335,0.3333333333333333,0.3826903760538032,37.20996296296296
90,deepAR-Oracle,10,False,r0.6,0.5666666666666667,0.6666666666666666,0.64,0.6666666666666666,0.5126019228947617,26.80933333333334
91,deepAR-Oracle-curtrack,10,False,r0.6,0.5333333333333333,0.6666666666666666,0.6133333333333333,0.6,0.4884314956900635,27.843444444444444
92,deepAR,10,False,r0.6,0.13333333333333333,0.0,0.38,0.26666666666666666,0.3896560197025671,39.41733333333334
93,naive,10,False,r0.6,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
94,deepAR-Oracle-curtrack,10,False,r0.6,0.3333333333333333,0.3333333333333333,0.41333333333333333,0.3333333333333333,0.32754593160935874,41.220962962962965
95,deepAR-Oracle-zerotrack,10,False,r0.6,0.5,0.6666666666666666,0.5533333333333333,0.4,0.48438045846357874,31.107037037037042
96,deepAR-Oracle,20,False,r0.5,0.15,0.0,0.47,0.0,0.2453267973856209,36.25555555555556
97,deepAR-Oracle-curtrack,20,False,r0.5,0.25,0.0,0.51,0.0,0.44372549019607843,22.855555555555554
98,deepAR,20,False,r0.5,0.25,1.0,0.64,0.8,0.5086928104575164,17.072222222222223
99,naive,20,False,r0.5,0.65,1.0,0.75,0.6,0.5877777777777777,14.194444444444446
100,deepAR-Oracle-curtrack,20,False,r0.5,0.25,0.0,0.52,0.0,0.4407679738562092,24.427777777777777
101,deepAR-Oracle-zerotrack,20,False,r0.5,0.6,0.0,0.77,0.2,0.5565032679738562,17.616666666666667
102,deepAR-Oracle,20,False,r0.6,0.5,0.0,0.68,0.6,0.5850490196078432,13.566666666666666
103,deepAR-Oracle-curtrack,20,False,r0.6,0.35,0.0,0.74,0.4,0.585686274509804,15.572222222222223
104,deepAR,20,False,r0.6,0.1,0.0,0.49,0.6,0.355,27.599999999999994
105,naive,20,False,r0.6,0.65,1.0,0.75,0.6,0.5877777777777777,14.194444444444446
106,deepAR-Oracle-curtrack,20,False,r0.6,0.6,0.0,0.73,0.2,0.5687908496732027,16.0
107,deepAR-Oracle-zerotrack,20,False,r0.6,0.6,0.0,0.79,0.4,0.5740196078431373,16.58888888888889
108,deepAR-Oracle,30,False,r0.5,0.26666666666666666,1.0,0.3333333333333333,0.6,0.251517792302106,35.28518518518518
109,deepAR-Oracle-curtrack,30,False,r0.5,0.2,0.0,0.37333333333333335,0.4,0.26431372549019605,34.522222222222226
110,deepAR,30,False,r0.5,0.03333333333333333,0.0,0.30666666666666664,0.6,0.18753086419753084,39.62962962962963
111,naive,30,False,r0.5,0.16666666666666666,1.0,0.32666666666666666,0.8,0.2688671023965141,34.42222222222222
112,deepAR-Oracle-curtrack,30,False,r0.5,0.16666666666666666,0.0,0.22666666666666666,0.2,0.10628903413217139,45.45925925925926
113,deepAR-Oracle-zerotrack,30,False,r0.5,0.06666666666666667,0.0,0.23333333333333334,0.2,0.0741031227305737,48.58888888888889
114,deepAR-Oracle,30,False,r0.6,0.6,0.0,0.58,0.0,0.3574800290486565,28.725925925925928
115,deepAR-Oracle-curtrack,30,False,r0.6,0.1,0.0,0.56,0.0,0.29613652868554824,32.029629629629625
116,deepAR,30,False,r0.6,0.1,0.0,0.42,0.4,0.29058823529411765,31.99259259259259
117,naive,30,False,r0.6,0.16666666666666666,1.0,0.32666666666666666,0.8,0.2688671023965141,34.42222222222222
118,deepAR-Oracle-curtrack,30,False,r0.6,0.03333333333333333,0.0,0.5133333333333333,0.0,0.2576688453159041,34.29999999999999
119,deepAR-Oracle-zerotrack,30,False,r0.6,0.43333333333333335,0.0,0.48,0.2,0.32694989106753813,29.374074074074073
