,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
29,zerotrack,5,True,r0.7,0.4777777777777778,0.5,0.68,0.5555555555555556,0.6956612616646718,17.912026838432634
30,oracle,10,True,r0.5,0.6166666666666667,0.5,0.73,0.6,0.5633224646292422,24.378667471819643
31,deepAR,10,True,r0.5,0.23333333333333334,0.0,0.41,0.26666666666666666,0.3845938403644287,42.4612423510467
32,naive,10,True,r0.5,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
33,curtrack,10,True,r0.5,0.25,0.0,0.5166666666666667,0.23333333333333334,0.49432342047930294,31.404971014492748
34,zerotrack,10,True,r0.5,0.23333333333333334,0.0,0.4633333333333333,0.2,0.4881552119662094,32.74298550724638
35,oracle,10,True,r0.6,0.6833333333333333,0.6666666666666666,0.7766666666666666,0.6333333333333333,0.6491537816356231,17.829464573268922
36,deepAR,10,True,r0.6,0.2,0.0,0.44666666666666666,0.3,0.385711686773963,43.4873615136876
37,naive,10,True,r0.6,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
38,curtrack,10,True,r0.6,0.36666666666666664,0.16666666666666666,0.5633333333333334,0.4,0.4987662623679248,31.489933172302738
39,zerotrack,10,True,r0.6,0.35,0.16666666666666666,0.6366666666666667,0.5,0.5553843016697236,28.418416264090173
40,oracle,10,True,r0.7,0.6333333333333333,0.3333333333333333,0.77,0.7,0.6441466558164769,18.458454106280193
41,deepAR,10,True,r0.7,0.2,0.0,0.49333333333333335,0.3333333333333333,0.4083130848123176,42.59015700483091
42,naive,10,True,r0.7,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
43,curtrack,10,True,r0.7,0.2833333333333333,0.16666666666666666,0.5066666666666667,0.26666666666666666,0.491821863563168,31.637313204508857
44,zerotrack,10,True,r0.7,0.3333333333333333,0.0,0.6433333333333333,0.4666666666666667,0.6219322879261499,23.55577536231884
45,oracle,2,False,r0.5,0.7105263157894737,0.631578947368421,0.8210526315789474,0.7894736842105263,0.8560326171936079,6.706010678871091
46,deepAR,2,False,r0.5,0.4473684210526316,0.42105263157894735,0.6947368421052632,0.6421052631578947,0.7384398025211054,14.081988304093569
47,naive,2,False,r0.5,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
48,curtrack,2,False,r0.5,0.5,0.42105263157894735,0.8105263157894737,0.7578947368421053,0.825068157004151,9.683076531909483
49,zerotrack,2,False,r0.5,0.5263157894736842,0.42105263157894735,0.7789473684210526,0.7157894736842105,0.802881299874502,11.173910500889907
50,oracle,2,False,r0.6,0.8421052631578947,0.8421052631578947,0.8578947368421053,0.8210526315789474,0.8813311197858241,6.006469616069159
51,deepAR,2,False,r0.6,0.5263157894736842,0.47368421052631576,0.7631578947368421,0.6842105263157895,0.8072836046560639,11.205414441901858
52,naive,2,False,r0.6,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
53,curtrack,2,False,r0.6,0.6842105263157895,0.6842105263157895,0.8052631578947368,0.7473684210526316,0.8255632513042662,11.239180015255531
54,zerotrack,2,False,r0.6,0.6842105263157895,0.6842105263157895,0.8052631578947368,0.7578947368421053,0.8297072182315821,8.822554030002543
55,oracle,2,False,r0.7,0.8421052631578947,0.8421052631578947,0.868421052631579,0.8210526315789474,0.8833762276146847,5.689192728197305
56,deepAR,2,False,r0.7,0.631578947368421,0.5263157894736842,0.7789473684210526,0.7052631578947368,0.794600364936211,12.063610475464024
57,naive,2,False,r0.7,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
58,curtrack,2,False,r0.7,0.6578947368421053,0.631578947368421,0.8,0.7473684210526316,0.8308836820214527,10.25624078311721
59,zerotrack,2,False,r0.7,0.6578947368421053,0.5789473684210527,0.8421052631578947,0.7894736842105263,0.8556877871459242,7.182846427663361
60,oracle,5,False,r0.5,0.7428571428571429,0.5714285714285714,0.7714285714285715,0.7714285714285715,0.7794141369854924,10.711013112491374
61,deepAR,5,False,r0.5,0.11428571428571428,0.0,0.5371428571428571,0.4,0.5566704221609593,28.442819875776397
62,naive,5,False,r0.5,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
63,curtrack,5,False,r0.5,0.34285714285714286,0.2857142857142857,0.6171428571428571,0.5142857142857142,0.6136256285913576,25.151664596273296
