,Year,Model,MAE,50-Risk,90-Risk
67,Indy500-2019,all-normal,193.97981332754503,1.4848361997205335,1.4936023433982264
68,Indy500-2019,all-caution,100.80501618122977,6.666399143927234,1.3332798287854464
69,Indy500-2019,all-plen2,97.57731958762886,48.78865979381443,9.757731958762886
70,Indy500-2018,normal-sel,199.90544255085211,10.687083027185892,2.137416605437178
71,Indy500-2018,normal-all,277.74241608328845,2.1134294639332687,1.526900040839797
72,Indy500-2018,normal-normal,286.79427383975985,1.7300273410133307,1.4719972589345782
73,Indy500-2018,normal-caution,246.1266129032258,21.5534604519774,4.310692090395479
74,Indy500-2018,normal-plen2,213.73714285714286,106.86857142857143,21.373714285714282
75,Indy500-2019,normal-sel,189.57443609022556,10.83282491944146,2.1665649838882914
76,Indy500-2019,normal-all,237.2541502652747,2.234890889393314,1.412083419314899
