,target,start_lap,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank,cautionlaps_all,cautionlaps_cur,stint_len
446,-6,30,1,67,1,1,0,8,15,0.45454545454545453,0,0,9.666666666666666,9.666666666666666,7,7.0,0,0.0,42.886223333333334,7.161674988794327,42.886223333333334,7.161674988794327,42.886223333333334,7.161674988794327,42.886223333333334,7.161674988794327,30,30,62.05855,7,7,3,11,5,-7,0,0,33
447,0,63,1,67,2,1,0,8,9,0.2727272727272727,0,0,14.393939393939394,12.142857142857142,-6,0.5,0,0.0,42.93252727272727,5.289952646020095,42.91047777777778,6.251577729177701,42.93252727272727,5.289952646020095,42.91047777777778,6.251577729177701,33,33,62.0938,-6,0,-4,-7,-7,-7,0,0,31
448,4,94,1,67,3,1,0,8,9,0.2727272727272727,0,0,13.32258064516129,12.53191489361702,0,0.3333333333333333,6,-3.5,42.24435483870969,5.271288757265777,42.690798936170204,5.954419192847259,42.24435483870969,5.271288757265777,42.690798936170204,5.954419192847259,31,31,60.811099999999996,2,-1,-11,0,0,-7,0,0,29
449,16,123,1,67,4,1,0,8,13,0.3939393939393939,0,0,11.310344827586206,12.24390243902439,4,1.25,4,-1.0,42.34690344827586,5.379035560490616,42.60971788617886,5.825712467974839,42.34690344827586,5.379035560490616,42.60971788617886,5.825712467974839,29,29,60.56815,0,0,-7,-4,10,-4,0,0,34
451,-2,28,1,68,1,1,0,24,30,0.9090909090909091,0,1,20.535714285714285,20.535714285714285,6,6.0,0,0.0,42.535407142857146,4.687973357655932,42.535407142857146,4.687973357655932,42.535407142857146,4.687973357655932,42.535407142857146,4.687973357655932,28,28,55.096149999999994,0,0,0,0,3,3,0,0,30
452,-1,58,1,68,2,1,0,24,28,0.8484848484848485,0,1,23.733333333333334,22.189655172413794,-2,2.0,0,0.0,42.93957666666667,6.025894126112921,42.74446034482758,5.425143316649439,42.93957666666667,6.025894126112921,42.74446034482758,5.425143316649439,30,30,64.31264999999999,-4,10,-1,-2,21,-1,0,0,30
453,-1,88,1,68,3,1,0,24,27,0.8181818181818182,0,0,24.366666666666667,22.931818181818183,-1,1.0,1,-3.5,42.82881333333333,5.722664932630213,42.773217045454544,5.528514872997942,42.82881333333333,5.722664932630213,42.773217045454544,5.528514872997942,30,30,63.009100000000004,-9,-5,-3,-1,-2,10,0,0,30
454,-1,118,1,68,4,1,0,24,26,0.7878787878787878,0,0,23.4,23.050847457627118,-1,0.5,0,-2.3333333333333335,42.652190000000004,5.772872551705375,42.74244745762711,5.591900454996962,42.652190000000004,5.772872551705375,42.74244745762711,5.591900454996962,30,30,63.49045,3,-8,0,1,0,18,0,0,30
455,-3,148,1,68,5,1,1,24,25,0.7575757575757576,0,0,23.1,23.06081081081081,-1,0.2,0,-1.75,42.59443333333334,5.928927998232245,42.7124445945946,5.662150901288067,42.59443333333334,5.928927998232245,42.7124445945946,5.662150901288067,30,30,63.53315,-2,-6,1,-1,-1,9,0,0,14
456,-2,162,1,68,6,1,0,24,22,0.6666666666666666,0,0,20.428571428571427,22.833333333333332,-3,-0.3333333333333333,-2,-1.8,48.09792000000001,12.655369888928574,42.88844052287581,6.096148238449857,64.23696428571428,17.60143768424318,44.572588271604936,9.6250537983514,14,14,66.26915,2,8,4,-3,1,4,9,0,12
457,0,174,1,68,7,1,1,24,20,0.6060606060606061,0,0,15.916666666666666,22.35632183908046,-2,-0.5714285714285714,1,-1.3333333333333333,46.39829999999999,6.776771064452452,42.999512025316456,6.149617690611196,63.304741666666665,25.202506605046857,45.86446091954023,12.35264252552992,12,12,54.5898,-4,-6,-9,-2,-1,0,7,7,18
458,-7,192,1,68,8,1,1,24,20,0.6060606060606061,0,0,20.61111111111111,22.192708333333332,0,-0.5,2,-0.8571428571428571,44.341179999999994,8.202333435651102,43.07937321428572,6.2985845152424185,62.518772222222225,26.662850001657645,47.42580260416667,15.11606895169644,18,18,94.75125,1,-5,-5,-3,-2,0,8,2,8
