,car_number,completed_laps,elapsed_time,lap_status,last_laptime,last_pitted_lap,pit_stop_count,rank,track_status
75,1,76,3247.965767173821,T,42.03255508864916,0.0,0.0,6,G
76,1,77,3290.2151509113237,T,42.249383737502725,0.0,0.0,6,G
77,1,78,3331.732317719782,T,41.51716680845812,0.0,0.0,6,G
78,1,79,3374.235185969612,T,42.50286824983026,0.0,0.0,6,G
79,1,80,3415.2075953544277,T,40.97240938481586,0.0,0.0,6,G
80,1,81,3458.194994377389,T,42.98739902296136,0.0,0.0,6,G
81,1,82,3499.501041594545,T,41.306047217156056,0.0,0.0,6,G
82,1,83,3541.5226751112737,T,42.02163351672863,0.0,0.0,6,G
83,1,84,3583.2294733272556,T,41.70679821598191,0.0,0.0,6,G
84,1,85,3625.6135945621672,T,42.38412123491153,0.0,0.0,6,G
85,1,86,3666.8517594846135,T,41.238164922446146,0.0,0.0,6,G
