,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
658,0,4,23,5,1,0,19,7,0.3181818181818182,0,0,10.32258064516129,10.970588235294118,3,-2.4,2,2.5,44.04276774193547,5.179743767132985,44.66700549450549,7.629555492494086,44.04276774193547,5.179743767132985,50.56553333333333,22.870876187869364,31,31,60.289850000000115,-2,-1,-3,2,4,5
659,2,4,23,6,1,0,19,7,0.3181818181818182,0,0,10.40625,10.835820895522389,0,-2.0,-3,1.4,43.86245625000001,4.673696351453187,44.4576918699187,6.990955442984009,43.86245625000001,4.673696351453187,48.96479850746268,20.28661905668838,32,32,59.14225000000033,0,0,-4,1,1,0
660,0,4,23,7,1,0,19,9,0.4090909090909091,0,0,10.606060606060606,10.790419161676647,2,-1.4285714285714286,2,1.5,44.5126090909091,5.141216736565606,44.469308974358974,6.642797053714861,44.5126090909091,5.141216736565606,48.085024550898204,18.400796201728372,33,33,60.75455000000011,0,0,1,0,0,-1
661,-2,4,26,0,0,0,7,7,0.3181818181818182,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
662,0,4,26,1,1,1,7,5,0.22727272727272727,1,0,6.75,6.75,-2,-2.0,0,0.0,44.20980000000003,44.20980000000003,44.20980000000003,44.20980000000003,77.8830625,33.362174736066656,77.8830625,33.362174736066656,8,8,40.85815,-1,1,1,-2,-6,-4
663,-1,4,26,2,1,0,7,5,0.22727272727272727,1,0,4.096774193548387,4.641025641025641,0,-1.0,0,0.0,44.70876296296296,10.478096169068959,44.67435172413793,15.395722538679832,56.47623870967741,33.618440186568094,60.86738205128204,34.66117170966095,31,31,163.58704999999998,1,-1,0,-1,2,2
664,2,4,26,3,1,0,7,4,0.18181818181818182,1,0,4.483870967741935,4.571428571428571,-1,-1.0,-1,0.5,43.80635806451613,4.782049618391432,44.22588833333334,11.25019740219539,43.80635806451613,4.782049618391432,53.31178571428572,27.40978091994736,31,31,59.34185000000002,1,0,1,3,-11,-1
665,0,4,26,4,1,0,7,6,0.2727272727272727,0,0,6.933333333333334,5.28,2,-0.25,3,1.3333333333333333,44.113316666666684,5.602566030316461,44.18836444444445,9.738772639201988,44.113316666666684,5.602566030316461,50.552245,23.517915974530464,30,30,61.83654999999999,-1,2,6,1,-2,4
666,-1,4,26,5,1,0,7,6,0.2727272727272727,0,0,6.9411764705882355,5.701492537313433,0,-0.2,-2,0.5,43.71277647058822,4.2993927264111775,44.057961290322574,8.599510679925164,43.71277647058822,4.2993927264111775,48.81685746268656,20.647111841146273,34,34,58.44284999999991,0,-4,-3,0,1,1
667,1,4,26,6,1,0,7,5,0.22727272727272727,1,0,6.606060606060606,5.880239520958084,-1,-0.3333333333333333,-1,0.2,44.04612727272728,4.3834204779173245,44.05547388535032,7.902299284741354,44.04612727272728,4.3834204779173245,47.87413832335329,18.694096911168508,33,33,58.541349999999966,1,-1,-1,1,0,0
668,-2,4,27,0,0,0,3,3,0.13636363636363635,1,0,3.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
669,1,4,27,1,1,1,3,1,0.045454545454545456,1,0,2.0,2.0,-2,-2.0,0,0.0,45.80314999999999,45.80314999999999,45.80314999999999,45.80314999999999,76.891875,34.20826717190415,76.891875,34.20826717190415,8,8,39.11505,0,0,0,1,1,-1
670,-1,4,27,2,1,0,3,2,0.09090909090909091,1,0,1.0,1.2105263157894737,1,-0.5,0,0.0,44.47853076923077,11.033154206013306,44.57314642857143,16.217394164566517,56.87008666666667,34.82987520429106,61.0852,35.64705411703233,30,30,165.94525000000004,1,0,0,1,-2,-2
671,0,4,27,3,1,0,3,1,0.045454545454545456,1,0,1.4545454545454546,1.323943661971831,-1,-0.6666666666666666,-2,0.5,43.38123030303029,4.4566743286001005,43.92833934426229,11.481326424888623,43.38123030303029,4.4566743286001005,52.85659436619718,27.70018543610015,33,33,58.34075000000007,0,0,0,0,-1,1
672,1,4,27,4,1,0,3,1,0.045454545454545456,1,0,1.0303030303030303,1.2307692307692308,0,-0.5,1,0.6666666666666666,43.59000000000001,4.571744545343608,43.809560638297874,9.638824238157328,43.59000000000001,4.571744545343608,49.916232692307695,23.432102045149858,33,33,58.67410000000018,0,0,0,1,-1,-2
673,0,4,27,5,1,0,3,2,0.09090909090909091,1,0,1.0,1.1764705882352942,1,-0.2,1,0.75,43.58961562499999,4.925187630189126,43.75370158730159,8.687998331880566,43.58961562499999,4.925187630189126,48.4276169117647,20.80340314372569,32,32,59.765249999999924,1,0,0,-1,1,0
674,-1,4,27,6,1,0,3,2,0.09090909090909091,1,0,1.1515151515151516,1.1715976331360947,0,-0.16666666666666666,-1,0.4,43.74313939393941,4.539095818781978,43.75150943396226,8.005721423962184,43.74313939393941,4.539095818781978,47.512896449704144,18.86121304006477,33,33,58.341499999999996,-1,0,0,1,1,1
675,0,4,28,0,0,0,4,4,0.18181818181818182,1,0,4.0,4.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
676,0,4,30,0,0,0,10,10,0.45454545454545453,0,0,10.0,10.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
677,0,4,59,0,0,0,21,21,0.9545454545454546,0,1,21.0,21.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
678,-6,4,59,1,1,1,21,21,0.9545454545454546,0,1,21.0,21.0,0,0.0,0,0.0,,,,,80.53670000000001,40.369296658425945,80.53670000000001,40.369296658425945,5,5,49.6633,-2,1,3,0,0,0
679,-6,4,59,2,1,1,21,15,0.6818181818181818,0,0,18.666666666666668,20.125,-6,-3.0,0,0.0,75.05579999999998,0.0,75.05579999999998,0.0,80.9739,9.279788428981899,80.70065,32.41739960661558,3,3,84.56644999999997,-6,-7,-7,-3,0,0
680,3,4,59,3,1,0,21,9,0.4090909090909091,0,0,12.84375,14.3,-6,-4.0,0,-3.0,45.31128571428572,9.211052677343439,46.33695862068966,10.553387669157658,56.09045625,31.045667542135988,61.012495000000015,32.8351975749572,32,32,156.10535,1,0,2,0,2,-2
