,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
33,naive,5,False,0.5405405405405406,0.43243243243243246,0.652972972972973,0.5567567567567567,0.6368375613215289,36.028727706833614
34,arima,5,False,0.5405405405405406,0.43243243243243246,0.652972972972973,0.5567567567567567,0.6368375613215289,36.028727706833614
35,deepAR-Oracle,10,False,0.37058823529411766,0.11764705882352941,0.4764705882352941,0.29411764705882354,0.5080741220778194,45.308571928513764
36,deepAR-Oracle-curtrack,10,False,0.3588235294117647,0.17647058823529413,0.4811764705882353,0.3058823529411765,0.5126647871042455,44.31796922107025
37,deepAR,10,False,0.29411764705882354,0.058823529411764705,0.42823529411764705,0.27058823529411763,0.4694657678782224,47.00422354569923
38,naive,10,False,0.34705882352941175,0.17647058823529413,0.46588235294117647,0.3058823529411765,0.48456722314297485,46.15441468286924
39,arima,10,False,0.34705882352941175,0.17647058823529413,0.46588235294117647,0.3058823529411765,0.48456722314297485,46.15441468286924
40,deepAR-Oracle,20,False,0.2857142857142857,0.14285714285714285,0.36857142857142855,0.17142857142857143,0.3300098346382467,65.18571644903172
41,deepAR-Oracle-curtrack,20,False,0.25,0.0,0.3628571428571429,0.14285714285714285,0.31845323439131024,65.36688761174968
42,deepAR,20,False,0.2357142857142857,0.0,0.37285714285714283,0.22857142857142856,0.36887175245282317,57.398728699142495
43,naive,20,False,0.25,0.14285714285714285,0.3871428571428571,0.22857142857142856,0.3314323611436912,63.37253514739229
44,arima,20,False,0.25,0.14285714285714285,0.3871428571428571,0.22857142857142856,0.3314323611436912,63.37253514739229
45,deepAR-Oracle,30,False,0.2,0.25,0.4216666666666667,0.35,0.3146853451257046,58.02055512984249
46,deepAR-Oracle-curtrack,30,False,0.26666666666666666,0.25,0.38166666666666665,0.3,0.3041737885775524,59.39241762452109
47,deepAR,30,False,0.225,0.0,0.36833333333333335,0.4,0.33917216104832737,53.32719667943806
48,naive,30,False,0.24166666666666667,0.25,0.4033333333333333,0.55,0.35104252348186876,52.06461302681993
49,arima,30,False,0.24166666666666667,0.25,0.4033333333333333,0.55,0.35104252348186876,52.06461302681993
