,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
14,deepAR,10,True,0.3,0.11764705882352941,0.5,0.36470588235294116,0.4927278233642184,48.34253433064799
15,naive,10,True,0.34705882352941175,0.14705882352941177,0.5276470588235294,0.36470588235294116,0.48660083895164746,50.42363192579013
16,deepAR-Oracle-curtrack,10,True,0.34411764705882353,0.14705882352941177,0.55,0.3764705882352941,0.5625593453656723,40.49476823666058
17,deepAR-Oracle-zerotrack,10,True,0.36470588235294116,0.20588235294117646,0.5994117647058823,0.4411764705882353,0.606442110779812,34.75677653931073
18,deepAR-Oracle,20,True,0.44642857142857145,0.14285714285714285,0.585,0.45714285714285713,0.618763520385922,26.79455020941474
19,deepAR-Oracle-curtrack,20,True,0.45357142857142857,0.14285714285714285,0.6021428571428571,0.5,0.6274360380766052,26.065439124868927
20,deepAR,20,True,0.17142857142857143,0.07142857142857142,0.3492857142857143,0.24285714285714285,0.37886420798114606,58.5633272639147
21,naive,20,True,0.2,0.07142857142857142,0.36357142857142855,0.22857142857142856,0.35931992864765944,61.074956881514765
22,deepAR-Oracle-curtrack,20,True,0.18571428571428572,0.0,0.3807142857142857,0.21428571428571427,0.37734383730574195,58.64543069615115
23,deepAR-Oracle-zerotrack,20,True,0.30714285714285716,0.14285714285714285,0.48642857142857143,0.3142857142857143,0.4660573995374877,47.49245272028646
24,deepAR-Oracle,30,True,0.22083333333333333,0.0,0.5458333333333333,0.375,0.5211169394037211,35.75112385209511
25,deepAR-Oracle-curtrack,30,True,0.2708333333333333,0.0,0.6008333333333333,0.425,0.540123989034655,33.69058759046403
26,deepAR,30,True,0.20833333333333334,0.0,0.41833333333333333,0.325,0.36723594963413536,55.33546390561333
27,naive,30,True,0.24166666666666667,0.25,0.44083333333333335,0.45,0.37596522497757,54.689220717022444
28,deepAR-Oracle-curtrack,30,True,0.19583333333333333,0.125,0.4325,0.375,0.37079733462088377,54.26010150215898
29,deepAR-Oracle-zerotrack,30,True,0.31666666666666665,0.375,0.49833333333333335,0.425,0.40722588509173197,50.57548389892355
30,deepAR-Oracle,2,False,0.7819148936170213,0.723404255319149,0.8691489361702127,0.8340425531914893,0.8735348913647836,8.028055950099576
31,deepAR-Oracle-curtrack,2,False,0.7712765957446809,0.7127659574468085,0.85,0.8063829787234043,0.8585756953226782,9.396593448665655
32,deepAR,2,False,0.6276595744680851,0.574468085106383,0.8117021276595745,0.7617021276595745,0.8011055145589414,16.362171171434227
33,naive,2,False,0.7446808510638298,0.6808510638297872,0.8542553191489362,0.8021276595744681,0.8461697125880255,13.409516667776511
34,deepAR-Oracle-curtrack,2,False,0.6595744680851063,0.574468085106383,0.8127659574468085,0.7446808510638298,0.8157743560617067,15.20852197372967
35,deepAR-Oracle-zerotrack,2,False,0.6808510638297872,0.6276595744680851,0.8297872340425532,0.7808510638297872,0.8432849393448941,11.03739338515393
36,deepAR-Oracle,5,False,0.6864864864864865,0.5405405405405406,0.7848648648648648,0.7027027027027027,0.7940813027461109,16.232059565530864
37,deepAR-Oracle-curtrack,5,False,0.6594594594594595,0.5135135135135135,0.7686486486486487,0.6864864864864865,0.7875563485145674,15.80909855561575
38,deepAR,5,False,0.5135135135135135,0.40540540540540543,0.6454054054054054,0.5297297297297298,0.6516569443313209,32.624624958373865
39,naive,5,False,0.5405405405405406,0.43243243243243246,0.652972972972973,0.5567567567567567,0.6368375613215289,36.028727706833614
40,deepAR-Oracle-curtrack,5,False,0.4864864864864865,0.3783783783783784,0.6572972972972972,0.5405405405405406,0.6893510935332645,27.558577868100723
41,deepAR-Oracle-zerotrack,5,False,0.5459459459459459,0.43243243243243246,0.6572972972972972,0.5351351351351351,0.6660906193664928,31.59781691258588
42,deepAR-Oracle,10,False,0.5647058823529412,0.4117647058823529,0.6788235294117647,0.5764705882352941,0.6941317891711589,21.358337309090565
43,deepAR-Oracle-curtrack,10,False,0.5705882352941176,0.47058823529411764,0.6694117647058824,0.6,0.6984038223779924,20.223709785008285
44,deepAR,10,False,0.3411764705882353,0.058823529411764705,0.4423529411764706,0.25882352941176473,0.47080526421307656,47.08835560589333
45,naive,10,False,0.34705882352941175,0.17647058823529413,0.46588235294117647,0.3058823529411765,0.48456722314297485,46.15441468286924
46,deepAR-Oracle-curtrack,10,False,0.3588235294117647,0.17647058823529413,0.48,0.2823529411764706,0.5040421577256313,45.31197749740209
47,deepAR-Oracle-zerotrack,10,False,0.3588235294117647,0.17647058823529413,0.5882352941176471,0.43529411764705883,0.6015594713944206,33.31166764263676
48,deepAR-Oracle,20,False,0.4714285714285714,0.14285714285714285,0.5828571428571429,0.45714285714285713,0.658824659928811,21.317326035395002
49,deepAR-Oracle-curtrack,20,False,0.42142857142857143,0.0,0.5771428571428572,0.5428571428571428,0.6672708869518925,19.495042328042327
50,deepAR,20,False,0.17857142857142858,0.0,0.36857142857142855,0.17142857142857143,0.37481967713109415,57.54295545651211
51,naive,20,False,0.25,0.14285714285714285,0.3871428571428571,0.22857142857142856,0.3314323611436912,63.37253514739229
52,deepAR-Oracle-curtrack,20,False,0.25,0.0,0.37285714285714283,0.14285714285714285,0.31700742355002715,65.85094737665182
53,deepAR-Oracle-zerotrack,20,False,0.2357142857142857,0.0,0.4942857142857143,0.2857142857142857,0.47053186230873134,46.63813884327677
54,deepAR-Oracle,30,False,0.30833333333333335,0.0,0.5833333333333334,0.25,0.4921597065538073,34.48084163473819
55,deepAR-Oracle-curtrack,30,False,0.325,0.0,0.615,0.35,0.5234971486397225,31.175297999148576
56,deepAR,30,False,0.15833333333333333,0.0,0.3616666666666667,0.4,0.3395624942359955,53.482704129416774
57,naive,30,False,0.24166666666666667,0.25,0.4033333333333333,0.55,0.35104252348186876,52.06461302681993
58,deepAR-Oracle-curtrack,30,False,0.26666666666666666,0.25,0.37,0.3,0.2973614286278417,60.18868752660707
59,deepAR-Oracle-zerotrack,30,False,0.2833333333333333,0.25,0.425,0.4,0.36240207855713263,52.520680715197955
