,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
15,oracle,5,True,indy500-r0.2,0.7222222222222222,0.6666666666666666,0.82,0.7555555555555555,0.8423413073617678,7.008003220611916
16,deepAR,5,True,indy500-r0.2,0.43333333333333335,0.3888888888888889,0.6088888888888889,0.4666666666666667,0.6242597259896494,26.32166774020397
17,naive,5,True,indy500-r0.2,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
18,curtrack,5,True,indy500-r0.2,0.4444444444444444,0.4444444444444444,0.6911111111111111,0.5888888888888889,0.7230171829118122,16.64033494363929
19,zerotrack,5,True,indy500-r0.2,0.5444444444444444,0.4444444444444444,0.7044444444444444,0.5888888888888889,0.7278298098920436,15.622644659151907
20,oracle,5,True,indy500-r0.4,0.7222222222222222,0.6111111111111112,0.8466666666666667,0.8,0.8598793280919454,4.873248523886205
21,deepAR,5,True,indy500-r0.4,0.37777777777777777,0.2777777777777778,0.66,0.5444444444444444,0.6494542067449144,24.252115942028986
22,naive,5,True,indy500-r0.4,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
23,curtrack,5,True,indy500-r0.4,0.36666666666666664,0.3888888888888889,0.6977777777777778,0.5777777777777777,0.7267700770133848,16.567735373054216
24,zerotrack,5,True,indy500-r0.4,0.37777777777777777,0.2777777777777778,0.6844444444444444,0.5888888888888889,0.7173210261179571,16.69517069243156
25,oracle,5,True,indy500,0.6333333333333333,0.5555555555555556,0.8066666666666666,0.7555555555555555,0.8359601643028753,7.538928609769191
26,deepAR,5,True,indy500,0.43333333333333335,0.3333333333333333,0.6555555555555556,0.5333333333333333,0.6450456465765929,25.456403113258187
27,naive,5,True,indy500,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
28,curtrack,5,True,indy500,0.43333333333333335,0.3888888888888889,0.6711111111111111,0.5222222222222223,0.7187079364259246,17.417106280193238
29,zerotrack,5,True,indy500,0.45555555555555555,0.4444444444444444,0.6355555555555555,0.5111111111111111,0.6933208188735897,19.06535373054213
30,oracle,10,True,indy500-r0.2,0.5833333333333334,0.16666666666666666,0.7066666666666667,0.6,0.5955584739121823,22.132070853462157
31,deepAR,10,True,indy500-r0.2,0.45,0.5,0.5866666666666667,0.4666666666666667,0.5166761506798592,30.089167471819646
32,naive,10,True,indy500-r0.2,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
33,curtrack,10,True,indy500-r0.2,0.36666666666666664,0.16666666666666666,0.5366666666666666,0.3333333333333333,0.5368595025274053,28.57178743961352
34,zerotrack,10,True,indy500-r0.2,0.36666666666666664,0.16666666666666666,0.61,0.4,0.5723785071516531,27.017742351046696
35,oracle,10,True,indy500-r0.4,0.5833333333333334,0.16666666666666666,0.7233333333333334,0.5666666666666667,0.6851312989227312,15.079737520128823
36,deepAR,10,True,indy500-r0.4,0.35,0.16666666666666666,0.5466666666666666,0.36666666666666664,0.49615811611425426,32.41942673107891
37,naive,10,True,indy500-r0.4,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
38,curtrack,10,True,indy500-r0.4,0.31666666666666665,0.0,0.5733333333333334,0.43333333333333335,0.564270940005339,26.85453140096618
39,zerotrack,10,True,indy500-r0.4,0.38333333333333336,0.16666666666666666,0.5966666666666667,0.4,0.5445371425249942,28.8841038647343
40,oracle,10,True,indy500,0.6833333333333333,0.6666666666666666,0.7433333333333333,0.7,0.6358836618529714,19.101980676328502
41,deepAR,10,True,indy500,0.26666666666666666,0.0,0.47,0.2,0.46470002411153305,33.40302012882448
42,naive,10,True,indy500,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.36666666666666664,0.5053394598155468,30.99270933977456
43,curtrack,10,True,indy500,0.36666666666666664,0.16666666666666666,0.5533333333333333,0.36666666666666664,0.5646191949331336,26.79817391304348
44,zerotrack,10,True,indy500,0.26666666666666666,0.0,0.6266666666666667,0.4666666666666667,0.6048639618693327,24.821209339774555
45,oracle,2,False,indy500-r0.2,0.8157894736842105,0.7894736842105263,0.8473684210526315,0.8421052631578947,0.8638676813905647,7.014252479023646
