,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
31,deepAR-Oracle-curtrack,5,False,0.5243243243243243,0.43243243243243246,0.6735135135135135,0.5621621621621622,0.6934201387623384,22.09534325629978
32,deepAR,5,False,0.5675675675675675,0.43243243243243246,0.6659459459459459,0.5513513513513514,0.6493342781516696,26.74364512338426
33,naive,5,False,0.5405405405405406,0.4594594594594595,0.6562162162162162,0.5513513513513514,0.6373181112291088,28.787897114505824
34,arima,5,False,0.5405405405405406,0.4594594594594595,0.6562162162162162,0.5513513513513514,0.6373181112291088,28.787897114505824
35,deepAR-Oracle,10,False,0.3941176470588235,0.11764705882352941,0.48470588235294115,0.32941176470588235,0.4922346605820504,38.964320261437905
36,deepAR-Oracle-curtrack,10,False,0.36470588235294116,0.17647058823529413,0.49411764705882355,0.3176470588235294,0.5058808535178777,38.1276339869281
37,deepAR,10,False,0.29411764705882354,0.058823529411764705,0.44823529411764707,0.3058823529411765,0.4693987546595791,39.21646405228759
38,naive,10,False,0.3588235294117647,0.17647058823529413,0.4611764705882353,0.3058823529411765,0.4905661551577153,38.13792810457517
39,arima,10,False,0.3588235294117647,0.17647058823529413,0.4611764705882353,0.3058823529411765,0.4905661551577153,38.13792810457517
40,deepAR-Oracle,20,False,0.2642857142857143,0.0,0.38285714285714284,0.17142857142857143,0.3197490429505136,58.97460317460318
41,deepAR-Oracle-curtrack,20,False,0.25,0.0,0.39285714285714285,0.2,0.3065991129785247,58.912730158730156
42,deepAR,20,False,0.2571428571428571,0.0,0.3942857142857143,0.2,0.39234981325863677,47.133746031746035
43,naive,20,False,0.25,0.14285714285714285,0.39714285714285713,0.2571428571428571,0.32045515873015873,57.4340634920635
44,arima,20,False,0.25,0.14285714285714285,0.39714285714285713,0.2571428571428571,0.32045515873015873,57.4340634920635
45,deepAR-Oracle,30,False,0.15833333333333333,0.0,0.39666666666666667,0.35,0.30482436613937036,49.718981481481485
46,deepAR-Oracle-curtrack,30,False,0.24166666666666667,0.25,0.38666666666666666,0.3,0.30101163130308484,50.26574074074074
47,deepAR,30,False,0.25833333333333336,0.5,0.385,0.4,0.3281932801300875,45.897453703703704
48,naive,30,False,0.25833333333333336,0.5,0.4,0.55,0.343560374632945,44.41527777777778
49,arima,30,False,0.25833333333333336,0.5,0.4,0.55,0.343560374632945,44.41527777777778
