rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leade,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
17,77,13,2,88.0765,41.2859,T,41.2859,2,0.0,1,0.1932,0,11,41.2859,Active,G,0,0,14,0
25,24,14,2,90.9249,42.5317,T,42.5317,2,0.0,1,0.6001,0,19,42.5317,Active,G,0,0,15,0
21,2,15,2,89.187,41.8409,T,41.8409,2,0.0,1,0.3545,0,15,41.8409,Active,G,0,0,16,0
24,1,16,2,90.3248,42.3419,T,42.3419,2,0.0,1,0.5202,0,18,42.3419,Active,G,0,0,17,0
19,14,17,2,88.5113,41.2229,T,41.2229,2,0.0,1,0.0196,0,13,41.2229,Active,G,0,0,18,0
26,88,18,2,91.1007,42.9278,T,42.9278,2,0.0,1,0.1758,0,1A,42.9278,Active,G,0,0,19,0
22,4,19,2,89.5916,41.7707,T,41.7707,2,0.0,1,0.4046,0,16,41.7707,Active,G,0,0,1A,0
28,50,1A,2,91.6367,42.8453,T,42.8453,2,0.0,1,0.1441,0,1C,42.8453,Active,G,0,0,1B,0
33,63,1B,2,93.5423,43.7254,T,43.7254,2,0.0,1,0.7981,0,21,43.7254,Active,G,0,0,1C,0
27,11,1C,2,91.4926,42.7777,T,42.7777,2,0.0,1,0.3919,0,1B,42.7777,Active,G,0,0,1D,0
30,44,1D,2,92.2849,43.1384,T,43.1384,2,0.0,1,0.644,0,1E,43.1384,Active,G,0,0,1E,0
31,17,1E,2,92.3153,43.0451,T,43.0451,2,0.0,1,0.0304,0,1F,43.0451,Active,G,0,0,1F,0
32,40,1F,2,92.7442,43.2523,T,43.2523,2,0.0,1,0.4289,0,20,43.2523,Active,G,0,0,20,0
29,18,20,2,91.6409,42.4467,T,42.4467,2,0.0,1,0.0042,0,1D,42.4467,Active,G,0,0,21,0
4,12,8,3,124.4847,40.8488,T,40.8488,3,0.6824,0,0.3075,0,4,40.8488,Active,G,0,0,9,0
5,98,2,3,124.5589,40.6742,T,40.6742,3,0.7566,0,0.0742,0,5,40.6742,Active,G,0,0,3,0
6,21,5,3,125.1114,40.8228,T,40.8228,3,1.3091,0,0.5525,0,6,40.8228,Active,G,0,0,6,0
7,27,7,3,125.2511,40.4008,T,40.4008,3,1.4488,0,0.1397,0,7,40.4008,Active,G,0,0,8,0
8,26,3,2,85.4859,41.5987,T,41.5987,2,0.0,1,0.0,1,8,41.5987,Active,G,0,0,4,0
8,26,3,3,125.955,40.4691,T,40.4691,3,2.1527,0,0.7039,0,8,40.4691,Active,G,0,0,4,0
