MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
15263,25,163,17,8967.7843,0.0,43.213299999999435
15341,25,164,17,9009.9703,0.0,42.18600000000151
15415,25,165,16,9051.8585,-1.0,41.888199999999415
15493,25,166,16,9093.1984,0.0,41.339899999999034
15575,25,167,16,9134.9619,0.0,41.76350000000093
15660,25,168,15,9176.7865,-1.0,41.82459999999992
15746,25,169,15,9218.738000000001,0.0,41.95150000000103
15836,25,170,13,9260.2901,-2.0,41.55209999999897
15924,25,171,12,9302.4449,-1.0,42.15480000000025
16017,25,172,8,9344.3969,-4.0,41.951999999999316
16119,25,173,7,9386.6611,-1.0,42.26419999999962
16220,25,174,5,9428.4045,-2.0,41.7434000000012
16310,25,175,5,9469.747,0.0,41.342499999998836
16391,25,176,3,9511.0204,-2.0,41.27340000000004
16482,25,177,3,9552.984,0.0,41.96360000000095
16568,25,178,3,9595.0345,0.0,42.050499999999374
16649,25,179,3,9636.9623,0.0,41.92779999999948
16731,25,180,2,9678.8387,-1.0,41.87640000000101
16825,25,181,2,9720.6918,0.0,41.85310000000027
16916,25,182,2,9761.8624,0.0,41.17059999999947
17001,25,183,2,9802.9816,0.0,41.11919999999918
17083,25,184,2,9844.4845,0.0,41.50290000000132
17166,25,185,2,9886.19,0.0,41.70550000000003
17251,25,186,2,9927.1377,0.0,40.947699999998804
17331,25,187,2,9968.1414,0.0,41.00370000000112
17410,25,188,2,10009.0656,0.0,40.92419999999947
17503,25,189,2,10073.6246,0.0,64.55899999999929
17609,25,190,2,10177.8298,0.0,104.20520000000033
17699,25,191,2,10295.0496,0.0,117.21980000000076
17794,25,192,2,10410.9263,0.0,115.87669999999889
17849,25,193,1,10494.358999999999,-1.0,83.43269999999939
17915,25,194,1,10536.192,0.0,41.83300000000054
17986,25,195,1,10577.2239,0.0,41.03190000000177
18151,25,196,17,10636.6924,16.0,59.46849999999904
18249,25,197,17,10692.2073,0.0,55.514900000000125
18325,25,198,15,10733.133,-2.0,40.92569999999978
18412,25,199,15,10774.4238,0.0,41.29080000000067
18492,25,200,15,10816.3112,0.0,41.887399999999616
30,27,0,32,4.5005,0.0,0.0
104,27,1,28,49.7731,-4.0,45.2726
190,27,2,27,94.0066,-1.0,44.23350000000001
269,27,3,27,136.8631,0.0,42.8565
348,27,4,26,178.8544,-1.0,41.991299999999995
430,27,5,26,220.6823,0.0,41.8279
512,27,6,26,262.7334,0.0,42.05110000000002
597,27,7,26,304.7834,0.0,42.049999999999955
682,27,8,26,346.7412,0.0,41.95780000000002
768,27,9,26,388.8808,0.0,42.13960000000003
855,27,10,26,430.7644,0.0,41.8836
944,27,11,26,472.7823,0.0,42.0179
1029,27,12,26,514.9615,0.0,42.17919999999998
1118,27,13,26,557.0962,0.0,42.13469999999995
1206,27,14,26,599.1142,0.0,42.01800000000003
1296,27,15,26,641.2012,0.0,42.08699999999999
1387,27,16,26,683.2992,0.0,42.09800000000007
1475,27,17,26,725.2634,0.0,41.964200000000005
1565,27,18,26,767.217,0.0,41.95359999999994
1654,27,19,26,809.2419,0.0,42.0249
