MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
18035,1,195,12,10584.0216,-1.0,42.8757999999998
18120,1,196,9,10625.4693,-3.0,41.44770000000062
18211,1,197,8,10666.678,-1.0,41.208699999999226
18298,1,198,8,10708.2192,0.0,41.54119999999966
18386,1,199,8,10749.5741,0.0,41.35490000000027
18466,1,200,8,10791.3282,0.0,41.75410000000011
8,3,0,8,0.9523,0.0,0.0
73,3,1,8,44.2473,0.0,43.295
157,3,2,8,85.477,0.0,41.2297
238,3,3,8,126.6877,0.0,41.2107
318,3,4,8,167.7813,0.0,41.09359999999998
401,3,5,8,209.3299,0.0,41.54860000000002
483,3,6,8,251.1534,0.0,41.823499999999996
567,3,7,8,292.71,0.0,41.556599999999975
653,3,8,8,334.2798,0.0,41.56980000000004
738,3,9,8,375.6404,0.0,41.36059999999998
824,3,10,8,417.212,0.0,41.57159999999999
912,3,11,8,458.5315,0.0,41.319500000000005
999,3,12,8,499.91900000000004,0.0,41.387500000000045
1086,3,13,8,541.32,0.0,41.40100000000001
1175,3,14,8,582.6941,0.0,41.3741
1264,3,15,8,624.11,0.0,41.415899999999965
1354,3,16,8,665.6555,0.0,41.54549999999995
1444,3,17,8,707.2410000000001,0.0,41.58550000000014
1533,3,18,8,748.8436,0.0,41.60259999999994
1622,3,19,8,790.6082,0.0,41.76459999999997
1712,3,20,8,832.2814,0.0,41.67319999999995
1802,3,21,8,873.8728,0.0,41.59140000000002
1891,3,22,8,915.375,0.0,41.502200000000016
1983,3,23,8,956.8474,0.0,41.47239999999999
2073,3,24,8,998.4466,0.0,41.599199999999996
2163,3,25,8,1039.9429,0.0,41.49630000000002
2252,3,26,8,1081.5033,0.0,41.56040000000007
2341,3,27,8,1123.0584,0.0,41.55509999999981
2434,3,28,8,1164.6538,0.0,41.595400000000154
2524,3,29,8,1206.0554,0.0,41.40159999999992
2617,3,30,7,1247.6102,-1.0,41.554800000000114
2739,3,31,11,1302.9245,4.0,55.3143
2915,3,32,23,1369.7539,12.0,66.82939999999985
3074,3,33,15,1410.7485,-8.0,40.99459999999999
3198,3,34,7,1451.5356,-8.0,40.78710000000001
3357,3,35,5,1492.7005,-2.0,41.16489999999999
3487,3,36,5,1533.4485,0.0,40.74800000000005
3591,3,37,5,1574.5898,0.0,41.1413
3678,3,38,5,1615.5083,0.0,40.918499999999995
3771,3,39,5,1656.6472,0.0,41.13890000000015
3861,3,40,5,1697.7920000000001,0.0,41.14480000000003
3954,3,41,5,1739.0088,0.0,41.21679999999992
4046,3,42,5,1780.2633,0.0,41.25450000000001
4138,3,43,5,1821.5086,0.0,41.245299999999816
4231,3,44,5,1862.9762,0.0,41.467600000000175
4322,3,45,5,1904.2673,0.0,41.291099999999915
4414,3,46,5,1945.4082,0.0,41.1409000000001
4505,3,47,5,1987.1509,0.0,41.74270000000001
4606,3,48,5,2048.5311,0.0,61.38020000000006
4705,3,49,5,2146.7931,0.0,98.26199999999972
4800,3,50,5,2264.573,0.0,117.7799
4913,3,51,9,2386.7404,4.0,122.16740000000027
5003,3,52,9,2492.1613,0.0,105.42090000000007
5089,3,53,9,2602.3716,0.0,110.21029999999973
5184,3,54,9,2709.6236,0.0,107.25199999999995
5272,3,55,9,2778.0285,0.0,68.4049
5336,3,56,7,2820.913,-2.0,42.884500000000116
5423,3,57,7,2863.4066,0.0,42.49359999999979
5507,3,58,7,2911.3285,0.0,47.92190000000028
5602,3,59,7,3005.3301,0.0,94.00160000000005
5693,3,60,7,3110.0245,0.0,104.69439999999986
5791,3,61,7,3216.4191,0.0,106.39460000000008
5882,3,62,7,3311.2974,0.0,94.87829999999985
5958,3,63,7,3385.4394,0.0,74.14200000000028
6029,3,64,6,3427.8951,-1.0,42.45569999999998
6105,3,65,6,3468.9335,0.0,41.03839999999991
6182,3,66,6,3510.2101,0.0,41.27659999999969
6262,3,67,6,3551.5244,0.0,41.3143
6342,3,68,6,3599.1717,0.0,47.64730000000009
6443,3,69,6,3692.4936,0.0,93.32189999999991
6529,3,70,5,3803.8237,-1.0,111.33010000000013
6650,3,71,5,3910.6028,0.0,106.7791000000002
6755,3,72,5,4012.7877,0.0,102.18489999999974
6809,3,73,5,4092.6258,0.0,79.83809999999994
6903,3,74,5,4135.4592,0.0,42.83340000000044
6980,3,75,5,4176.723,0.0,41.26379999999972
7058,3,76,5,4217.8606,0.0,41.13760000000002
7137,3,77,5,4259.2633,0.0,41.40269999999964
7214,3,78,5,4300.6055,0.0,41.34220000000005
7297,3,79,5,4342.0664,0.0,41.46090000000004
7377,3,80,5,4383.5343,0.0,41.467900000000554
