,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
689,1,4,88,4,1,0,22,11,0.5,0,0,12.451612903225806,13.72972972972973,-8,-2.75,-7,-2.0,-5,4,0,-9,-9,0
690,1,4,88,5,1,0,22,12,0.5454545454545454,0,0,11.466666666666667,12.716417910447761,1,-2.0,9,0.75,0,1,-1,1,0,-6
691,-1,4,88,6,1,0,22,13,0.5909090909090909,0,0,13.030303030303031,12.82,1,-1.5,0,0.6,-1,1,3,0,0,0
692,1,4,88,7,1,0,22,12,0.5454545454545454,0,0,12.0625,12.636363636363637,-1,-1.4285714285714286,-2,0.16666666666666666,0,0,0,-1,2,0
693,1,4,88,8,1,0,22,13,0.5909090909090909,0,0,12.807692307692308,12.664556962025317,1,-1.125,2,0.42857142857142855,-1,0,0,2,0,0
694,0,4,98,0,0,0,11,11,0.5,0,0,11.0,11.0,0,0.0,0,0.0,0,0,0,0,0,0
695,-6,4,98,1,1,1,11,11,0.5,0,0,11.0,11.0,0,0.0,0,0.0,0,0,0,-1,0,2
696,1,4,98,2,1,0,11,5,0.22727272727272727,1,0,6.233333333333333,6.794117647058823,-6,-3.0,0,0.0,0,1,0,0,2,0
697,-3,4,98,3,1,0,11,6,0.2727272727272727,0,0,6.5,6.661290322580645,1,-1.6666666666666667,7,0.5,-2,-3,0,-10,-5,0
698,0,4,98,4,1,0,11,3,0.13636363636363635,1,0,4.40625,5.8936170212765955,-3,-2.0,-4,-1.0,0,0,0,1,0,-2
699,4,4,98,5,1,0,11,3,0.13636363636363635,1,0,3.727272727272727,5.330708661417323,0,-1.6,3,0.0,0,0,0,-5,1,1
700,0,4,98,6,1,0,11,7,0.3181818181818182,0,0,6.0285714285714285,5.481481481481482,4,-0.6666666666666666,4,0.8,0,-1,-1,0,0,0
701,1,5,1,0,0,0,3,3,0.14285714285714285,1,0,3.0,3.0,0,0.0,0,0.0,0,0,0,0,0,0
702,0,5,1,1,1,0,3,4,0.19047619047619047,1,0,3.2363636363636363,3.2363636363636363,1,1.0,0,0.0,0,0,0,0,0,0
703,0,5,1,2,1,0,3,4,0.19047619047619047,1,0,4.344262295081967,3.8189655172413794,0,0.5,0,0.0,1,0,0,-1,0,-2
704,1,5,1,3,1,1,3,4,0.19047619047619047,1,0,5.491228070175438,4.369942196531792,0,0.3333333333333333,0,-0.5,1,1,-1,-2,-2,2
705,2,5,1,4,1,0,3,5,0.23809523809523808,1,0,6.163934426229508,4.837606837606837,1,0.5,1,0.0,-4,-2,-5,1,0,7
